pmid|annotator|subject_text_span|subject_label|predicate|object_text_span|object_label
38068763|expert_3|Depressive symptoms|DDF|target|bariatric patients|human
38068763|expert_3|mood disorders|DDF|target|people|human
38068763|expert_3|mental deterioration|DDF|target|patients|human
35965349|expert_7|AGPs|drug|impact|gut microbiome|microbiome
35965349|expert_7|antibiotic growth promotants|drug|change effect|inflammation|DDF
35965349|expert_7|intestinal site|anatomical location|located in|bird|animal
35965349|expert_7|AGP treatments|drug|administered|Birds|animal
35965349|expert_7|AGPs|drug|change effect|inflammation|DDF
35965349|expert_7|antibiotic growth promotants|drug|impact|gut microbiome|microbiome
35965349|expert_7|AGPs|drug|impact|poultry gut microbiome|microbiome
35965349|expert_7|antibiotic growth promotants|drug|impact|poultry gut microbiome|microbiome
34870091|expert_4|psychosis|DDF|target|patients|human
34870091|expert_4|schizophrenia|DDF|target|patients|human
34870091|expert_4|intestinal microbiome|microbiome|is linked to|schizophrenia|DDF
34870091|expert_4|intestinal microbiome|microbiome|is linked to|psychosis|DDF
34870091|expert_4|oral and gut microbiota|microbiome|located in|healthy controls|human
34870091|expert_4|oral and gut microbiota|microbiome|located in|patients|human
28158162|expert_2|migraine|DDF|affect|inflammation|DDF
28158162|expert_2|migraine headache|DDF|affect|gastrointestinal diseases|DDF
28158162|expert_2|migraine headache|DDF|target|patients|human
28158162|expert_2|migraine|DDF|affect|gastrointestinal disorders|DDF
28158162|expert_2|gastrointestinal disorders|DDF|target|patients|human
28158162|expert_2|Probiotics|dietary supplement|influence|Human Migraine Headache|DDF
28158162|expert_2|probiotics|dietary supplement|influence|migraine headache|DDF
28158162|expert_2|migraine headache|DDF|change abundance|gut microbiota|microbiome
28158162|expert_2|migraine|DDF|affect|gastrointestinal diseases|DDF
28158162|expert_2|probiotics supplement|dietary supplement|influence|migraine headache|DDF
28158162|expert_2|probiotics|dietary supplement|administered|patients|human
28158162|expert_2|gut microbiota|microbiome|is linked to|migraine headache|DDF
28158162|expert_2|gastrointestinal disorders|DDF|change abundance|gut microbiota|microbiome
28158162|expert_2|gastrointestinal disorders|DDF|affect|headaches|DDF
28158162|expert_2|gastrointestinal diseases|DDF|affect|inflammation|DDF
28158162|expert_2|migraine headache|DDF|affect|depression|DDF
28158162|expert_2|headaches|DDF|target|patients|human
28158162|expert_2|migraine|DDF|change abundance|gut microbiota|microbiome
28158162|expert_2|migraine headache|DDF|affect|anxiety|DDF
34172092|expert_6|non-absorbable antibiotic vancomycin|drug|impact|gut microbiota|microbiome
34172092|expert_6|cognitive impairment|DDF|target|T1D mice|animal
34172092|expert_6|gut microbiota|microbiome|is linked to|type 1 diabetes mellitus|DDF
34172092|expert_6|gut microbiota|microbiome|is linked to|cognitive impairment|DDF
34172092|expert_6|acetate-producing bacteria|bacteria|influence|learning and memory impairments|DDF
34172092|expert_6|metabolite acetate|chemical|influence|long-term acetate deficiency|DDF
34172092|expert_6|metabolite acetate|chemical|influence|cognitive decline|DDF
34172092|expert_6|gut microbiota|microbiome|located in|streptozotocin (STZ)-induced T1D mice|animal
34172092|expert_6|acetate-producing bacteria|bacteria|influence|Long-term acetate deficiency|DDF
34172092|expert_6|gut microbiota|microbiome|is linked to|T1D|DDF
37845499|expert_3|microbiota|microbiome|located in|nasal passages|anatomical location
37845499|expert_3|microbiota|microbiome|located in|skin|anatomical location
37845499|expert_3|host microbiota|microbiome|is linked to|neuropsychiatric disorders|DDF
37845499|expert_3|host microbiome|microbiome|is linked to|neuropsychiatric disorders|DDF
37845499|expert_3|microbiota|microbiome|is linked to|neuropsychiatric disorders|DDF
37845499|expert_3|gut microbiota|microbiome|is linked to|psychiatric and neurodegenerative disorders|DDF
37845499|expert_3|microbiota|microbiome|located in|oral cavity|anatomical location
37845499|expert_3|gut microbiota|microbiome|located in|gastrointestinal tract|anatomical location
37845499|expert_3|periodontitis|DDF|affect|neuropsychiatric disorders|DDF
