pmid	annotator	start_idx	end_idx	location	text_span	label
37065853	distant	52	81	title	induced pluripotent stem cells	biomedical technique
37065853	distant	4	17	abstract	gut microbiome	microbiome
37065853	distant	20	21	abstract	GM	microbiome
37065853	distant	138	152	abstract	organ-on-a-chip	biomedical technique
37065853	distant	158	186	abstract	induced pluripotent stem cell	biomedical technique
37065853	distant	189	193	abstract	iPSCs	biomedical technique
37065853	distant	407	481	abstract	psychiatric, neurodevelopmental, functional, and neurodegenerative diseases	DDF
37065853	distant	492	510	abstract	Alzheimer's disease	DDF
37065853	distant	516	534	abstract	Parkinson's disease	DDF
37065853	distant	543	557	abstract	brain disorders	DDF
37065853	distant	585	596	abstract	GM dysbiosis	DDF
37065853	distant	620	624	abstract	brain	anatomical location
37065853	distant	1177	1181	abstract	iPSCs	biomedical technique
37065853	distant	1265	1269	abstract	iPSCs	biomedical technique


33249563	distant	0	28	title	Microbiota-immune alterations	DDF
33249563	distant	33	43	title	adolescents	human
33249563	distant	115	137	abstract	infant's gut microbiota	microbiome
33249563	distant	300	302	abstract	gut	anatomical location
33249563	distant	311	315	abstract	brain	anatomical location
33249563	distant	440	472	abstract	16S rRNA gene amplicon sequencing	biomedical technique
33249563	distant	499	509	abstract	adolescents	human
33249563	distant	581	591	abstract	adolescents	human
33249563	distant	916	952	abstract	Negative binomial regression analysis	statistical technique
33249563	distant	1304	1317	abstract	gut microbiota	microbiome
33249563	distant	1341	1358	abstract	immune alterations	DDF


33045322	distant	67	79	title	schizophrenia	DDF
33045322	distant	85	104	title	major mood disorders	DDF
33045322	distant	0	19	abstract	Cognitive impairment	DDF
33045322	distant	73	96	abstract	serious mental illnesses	DDF
33045322	distant	106	118	abstract	schizophrenia	DDF
33045322	distant	124	143	abstract	major mood disorders	DDF
33045322	distant	146	161	abstract	major depression	DDF
33045322	distant	167	182	abstract	bipolar disorder	DDF
33045322	distant	272	289	abstract	cognitive deficits	DDF
33045322	distant	339	382	abstract	Microbiome and gut-brain axis (MGB) hormones	chemical
33045322	distant	448	471	abstract	serious mental illnesses	DDF
33045322	distant	574	591	abstract	gut-brain hormones	chemical
33045322	distant	619	631	abstract	schizophrenia	DDF
33045322	distant	637	656	abstract	major mood disorders	DDF
33045322	distant	681	692	abstract	MGB hormones	chemical
33045322	distant	699	704	abstract	stress	DDF
33045322	distant	801	824	abstract	serious mental illnesses	DDF
33045322	distant	873	886	abstract	gut microbiota	microbiome
33045322	distant	1018	1037	abstract	clinical populations	human
33045322	distant	1079	1088	abstract	probiotics	dietary supplement
33045322	distant	1091	1100	abstract	prebiotics	dietary supplement
33045322	distant	1103	1113	abstract	antibiotics	drug
33045322	distant	1245	1267	abstract	gut-brain axis hormones	chemical


36550632	distant	0	9	title	Oxymatrine	dietary supplement
36550632	distant	23	41	title	white matter injury	DDF
36550632	distant	57	70	title	gut microbiota	microbiome
36550632	distant	78	101	title	intracerebral hemorrhage	DDF
36550632	distant	106	109	title	mice	animal
36550632	distant	0	18	abstract	White matter injury	DDF
36550632	distant	21	23	abstract	WMI	DDF
36550632	distant	76	114	abstract	intracerebral hemorrhage (ICH) patients	human
36550632	distant	117	129	abstract	Gut dysbiosis	DDF
36550632	distant	178	199	abstract	neurological disorders	DDF
36550632	distant	246	275	abstract	inflammation-mediated diseases	DDF
36550632	distant	320	322	abstract	WMI	DDF
36550632	distant	330	332	abstract	ICH	DDF
36550632	distant	350	363	abstract	gut microbiota	microbiome
36550632	distant	410	430	abstract	Neurological deficits	DDF
36550632	distant	433	435	abstract	WMI	DDF
36550632	distant	498	518	abstract	systemic inflammation	DDF
36550632	distant	544	546	abstract	ICH	DDF
36550632	distant	627	640	abstract	gut microbiota	microbiome
36550632	distant	665	667	abstract	ICH	DDF
36550632	distant	740	742	abstract	WMI	DDF
36550632	distant	751	770	abstract	peri-hematoma region	anatomical location
36550632	distant	776	814	abstract	distal corticospinal tract (CST) region	anatomical location
36550632	distant	822	824	abstract	ICH	DDF
36550632	distant	827	829	abstract	ICH	DDF
36550632	distant	866	878	abstract	gut dysbiosis	DDF
36550632	distant	947	976	abstract	intestinal barrier dysfunction	DDF
36550632	distant	982	1002	abstract	systemic inflammation	DDF
36550632	distant	1005	1024	abstract	Correlation analysis	statistical technique
36550632	distant	1040	1064	abstract	gut microbiota alteration	DDF
