pmid	annotator	subject_label	object_label
37065853	distant	DDF	anatomical location
37065853	distant	DDF	DDF


33249563	distant	microbiome	DDF
33249563	distant	DDF	human
33249563	distant	human	biomedical technique


33045322	distant	DDF	DDF


36550632	distant	DDF	anatomical location
36550632	distant	microbiome	DDF
36550632	distant	DDF	human
36550632	distant	dietary supplement	DDF
36550632	distant	DDF	DDF
36550632	distant	microbiome	animal
36550632	distant	DDF	animal
36550632	distant	dietary supplement	microbiome


30248988	distant	chemical	DDF
30248988	distant	dietary supplement	DDF
30248988	distant	human	statistical technique


36624505	distant	DDF	human


37630649	distant	DDF	microbiome
37630649	distant	microbiome	human
37630649	distant	DDF	anatomical location
37630649	distant	microbiome	DDF
37630649	distant	DDF	human
37630649	distant	dietary supplement	DDF
37630649	distant	DDF	DDF


37294054	distant	gene	DDF
37294054	distant	gene	animal
37294054	distant	microbiome	animal
37294054	distant	anatomical location	animal


36945049	distant	DDF	human
36945049	distant	human	human
36945049	distant	microbiome	biomedical technique
36945049	distant	human	biomedical technique


33920695	distant	chemical	anatomical location


36400152	distant	microbiome	DDF
36400152	distant	DDF	human
36400152	distant	microbiome	statistical technique
36400152	distant	human	biomedical technique


38273106	distant	chemical	DDF
38273106	distant	chemical	animal
38273106	distant	microbiome	human
38273106	distant	anatomical location	biomedical technique
38273106	distant	microbiome	DDF
38273106	distant	DDF	human
38273106	distant	human	biomedical technique
38273106	distant	microbiome	animal
38273106	distant	anatomical location	animal
38273106	distant	DDF	animal
38273106	distant	microbiome	biomedical technique


38606523	distant	chemical	DDF
38606523	distant	microbiome	DDF
38606523	distant	dietary supplement	DDF
38606523	distant	DDF	DDF
38606523	distant	chemical	microbiome
38606523	distant	human	human


37062706	distant	dietary supplement	DDF


29147024	distant	drug	animal
29147024	distant	drug	bacteria
29147024	distant	drug	microbiome
29147024	distant	microbiome	animal
29147024	distant	drug	human
29147024	distant	bacteria	animal
29147024	distant	drug	drug
29147024	distant	drug	DDF


35723531	distant	chemical	DDF
35723531	distant	microbiome	human
35723531	distant	anatomical location	biomedical technique
35723531	distant	microbiome	DDF
35723531	distant	DDF	human
35723531	distant	human	biomedical technique
35723531	distant	DDF	DDF


37298527	distant	bacteria	microbiome
37298527	distant	DDF	DDF
37298527	distant	microbiome	DDF




38024855	distant	chemical	DDF
38024855	distant	microbiome	DDF
38024855	distant	dietary supplement	DDF
38024855	distant	DDF	animal
38024855	distant	bacteria	chemical


36093695	distant	chemical	DDF
36093695	distant	microbiome	human
36093695	distant	microbiome	DDF
36093695	distant	DDF	human
36093695	distant	human	biomedical technique
36093695	distant	dietary supplement	bacteria
36093695	distant	dietary supplement	microbiome
36093695	distant	microbiome	biomedical technique


33955443	distant	microbiome	DDF
33955443	distant	drug	DDF
33955443	distant	dietary supplement	DDF
33955443	distant	DDF	DDF


36910501	distant	microbiome	DDF
36910501	distant	DDF	human
36910501	distant	microbiome	biomedical technique


31214110	distant	microbiome	DDF
31214110	distant	microbiome	human
31214110	distant	chemical	anatomical location
31214110	distant	DDF	DDF


26438800	distant	microbiome	DDF
26438800	distant	DDF	DDF


34895297	distant	chemical	DDF
34895297	distant	DDF	human
34895297	distant	food	human
34895297	distant	food	DDF


37174495	distant	DDF	bacteria
37174495	distant	microbiome	DDF
37174495	distant	DDF	human
37174495	distant	microbiome	animal
37174495	distant	DDF	animal


37354486	distant	DDF	microbiome
37354486	distant	microbiome	human
37354486	distant	microbiome	DDF
37354486	distant	DDF	human
37354486	distant	chemical	anatomical location


35583791	distant	microbiome	DDF
35583791	distant	dietary supplement	DDF
35583791	distant	chemical	DDF


35024387	distant	DDF	human
35024387	distant	human	biomedical technique


37804926	distant	chemical	DDF
37804926	distant	DDF	microbiome
37804926	distant	dietary supplement	human
37804926	distant	DDF	human
37804926	distant	dietary supplement	DDF


38117827	distant	microbiome	human
38117827	distant	microbiome	DDF
38117827	distant	DDF	human
38117827	distant	bacteria	human
38117827	distant	human	biomedical technique
38117827	distant	chemical	human
38117827	distant	microbiome	microbiome
38117827	distant	microbiome	biomedical technique


35855338	distant	microbiome	DDF
35855338	distant	food	DDF


31709198	distant	microbiome	DDF
31709198	distant	DDF	human
31709198	distant	microbiome	human


38353184	distant	microbiome	DDF
38353184	distant	dietary supplement	DDF
38353184	distant	drug	microbiome
38353184	distant	DDF	DDF
38353184	distant	drug	DDF


37307822	distant	microbiome	DDF
37307822	distant	DDF	human
37307822	distant	DDF	microbiome
37307822	distant	DDF	DDF


33921293	distant	DDF	human
33921293	distant	human	biomedical technique


36244525	distant	microbiome	chemical
36244525	distant	drug	human
36244525	distant	drug	microbiome


31380217	distant	DDF	bacteria
31380217	distant	microbiome	human
31380217	distant	microbiome	drug
31380217	distant	microbiome	DDF
31380217	distant	DDF	human
31380217	distant	human	gene


29358918	distant	DDF	bacteria
29358918	distant	DDF	anatomical location
29358918	distant	microbiome	DDF
29358918	distant	DDF	DDF
29358918	distant	DDF	animal
29358918	distant	drug	DDF


37892465	distant	chemical	DDF
37892465	distant	microbiome	DDF
37892465	distant	DDF	human
37892465	distant	bacteria	DDF
37892465	distant	DDF	DDF


38406183	distant	microbiome	anatomical location


26497477	distant	microbiome	DDF
26497477	distant	DDF	human
26497477	distant	drug	DDF
26497477	distant	dietary supplement	DDF


36442206	distant	microbiome	DDF
36442206	distant	DDF	human
36442206	distant	human	biomedical technique


37914097	distant	DDF	bacteria
37914097	distant	DDF	microbiome
37914097	distant	drug	animal
37914097	distant	microbiome	DDF
37914097	distant	DDF	DDF
37914097	distant	microbiome	animal
37914097	distant	animal	biomedical technique
37914097	distant	anatomical location	animal
37914097	distant	DDF	animal
37914097	distant	microbiome	biomedical technique


32989186	distant	dietary supplement	human
32989186	distant	microbiome	DDF
32989186	distant	DDF	human
32989186	distant	dietary supplement	DDF
32989186	distant	bacteria	DDF
32989186	distant	human	biomedical technique
32989186	distant	microbiome	chemical
32989186	distant	drug	human
32989186	distant	dietary supplement	bacteria


31405122	distant	dietary supplement	human
31405122	distant	bacteria	human
31405122	distant	DDF	human
31405122	distant	dietary supplement	drug
31405122	distant	dietary supplement	DDF
31405122	distant	bacteria	DDF
31405122	distant	drug	drug
31405122	distant	drug	DDF


28624847	distant	microbiome	DDF
28624847	distant	drug	microbiome


31479418	distant	anatomical location	animal
31479418	distant	DDF	anatomical location
31479418	distant	chemical	anatomical location
31479418	distant	DDF	DDF


38260072	distant	DDF	bacteria
38260072	distant	DDF	microbiome
38260072	distant	DDF	human
38260072	distant	dietary supplement	DDF
38260072	distant	microbiome	biomedical technique


32279681	distant	microbiome	DDF
32279681	distant	DDF	human
32279681	distant	dietary supplement	DDF
32279681	distant	human	biomedical technique
32279681	distant	DDF	DDF
32279681	distant	dietary supplement	microbiome


36650644	distant	dietary supplement	DDF
36650644	distant	microbiome	animal
36650644	distant	dietary supplement	animal
36650644	distant	chemical	anatomical location
36650644	distant	DDF	animal


34201752	distant	microbiome	human
34201752	distant	microbiome	DDF
34201752	distant	DDF	human
34201752	distant	DDF	DDF
34201752	distant	microbiome	dietary supplement
34201752	distant	dietary supplement	microbiome


34033061	distant	microbiome	DDF
34033061	distant	DDF	human
34033061	distant	microbiome	human


33421542	distant	DDF	DDF


37304433	distant	microbiome	human
37304433	distant	DDF	human
37304433	distant	human	biomedical technique
37304433	distant	DDF	DDF
37304433	distant	microbiome	biomedical technique


33094505	distant	DDF	human
33094505	distant	animal	biomedical technique
33094505	distant	DDF	DDF
33094505	distant	DDF	animal


37375679	distant	DDF	anatomical location
37375679	distant	microbiome	DDF
37375679	distant	DDF	human
37375679	distant	dietary supplement	DDF
37375679	distant	DDF	DDF
37375679	distant	dietary supplement	microbiome


35610236	distant	dietary supplement	human
35610236	distant	microbiome	DDF
35610236	distant	DDF	human
35610236	distant	dietary supplement	DDF
35610236	distant	drug	microbiome
35610236	distant	DDF	DDF
35610236	distant	human	biomedical technique
35610236	distant	drug	DDF
35610236	distant	dietary supplement	bacteria
35610236	distant	dietary supplement	microbiome


29213271	distant	DDF	anatomical location


38075261	distant	chemical	DDF
38075261	distant	DDF	human
38075261	distant	DDF	DDF


38417224	distant	chemical	DDF
38417224	distant	DDF	microbiome
38417224	distant	DDF	anatomical location
38417224	distant	microbiome	DDF
38417224	distant	DDF	human
38417224	distant	human	biomedical technique
38417224	distant	DDF	chemical
38417224	distant	microbiome	biomedical technique


36284437	distant	DDF	bacteria
36284437	distant	microbiome	human
36284437	distant	microbiome	DDF
36284437	distant	DDF	human
36284437	distant	bacteria	DDF
36284437	distant	DDF	DDF
36284437	distant	DDF	animal


33508544	distant	anatomical location	biomedical technique
33508544	distant	gene	biomedical technique
33508544	distant	microbiome	DDF
33508544	distant	microbiome	animal
33508544	distant	DDF	animal


36017855	distant	dietary supplement	DDF
36017855	distant	chemical	anatomical location


37692658	distant	microbiome	human
37692658	distant	microbiome	DDF
37692658	distant	DDF	human
37692658	distant	dietary supplement	DDF
37692658	distant	dietary supplement	microbiome


31440136	distant	chemical	DDF
31440136	distant	microbiome	DDF
31440136	distant	DDF	human
31440136	distant	human	biomedical technique
31440136	distant	chemical	microbiome
31440136	distant	animal	biomedical technique
31440136	distant	bacteria	animal




34946184	distant	microbiome	DDF
34946184	distant	dietary supplement	DDF
34946184	distant	chemical	DDF
34946184	distant	bacteria	DDF


37399128	distant	DDF	bacteria
37399128	distant	DDF	microbiome
37399128	distant	microbiome	human
37399128	distant	microbiome	DDF
37399128	distant	DDF	human
37399128	distant	bacteria	human


30705252	distant	microbiome	DDF
30705252	distant	DDF	human
30705252	distant	animal	statistical technique
30705252	distant	DDF	DDF
30705252	distant	microbiome	animal
30705252	distant	animal	biomedical technique
30705252	distant	DDF	animal
30705252	distant	microbiome	biomedical technique


36984872	distant	chemical	DDF
36984872	distant	DDF	human
36984872	distant	DDF	DDF


36815026	distant	dietary supplement	drug
36815026	distant	DDF	human
36815026	distant	dietary supplement	DDF


31890161	distant	chemical	DDF
31890161	distant	DDF	DDF


26633823	distant	drug	animal
26633823	distant	microbiome	DDF
26633823	distant	DDF	human
26633823	distant	drug	microbiome
26633823	distant	microbiome	animal
26633823	distant	chemical	microbiome
26633823	distant	drug	DDF


37794974	distant	chemical	DDF
37794974	distant	DDF	human
37794974	distant	microbiome	human




37774944	distant	DDF	human
37774944	distant	dietary supplement	DDF
37774944	distant	DDF	DDF


35513230	distant	chemical	DDF
35513230	distant	microbiome	DDF
35513230	distant	bacteria	DDF
35513230	distant	DDF	DDF




28121994	distant	DDF	human


31784958	distant	chemical	DDF
31784958	distant	DDF	DDF


37130861	distant	DDF	bacteria
37130861	distant	microbiome	human
37130861	distant	microbiome	DDF
37130861	distant	DDF	human
37130861	distant	DDF	DDF


29138692	distant	bacteria	DDF


38275646	distant	microbiome	DDF
38275646	distant	drug	DDF
38275646	distant	drug	bacteria
38275646	distant	DDF	DDF


37323145	distant	microbiome	DDF
37323145	distant	DDF	human
37323145	distant	microbiome	biomedical technique


36674517	distant	microbiome	DDF
36674517	distant	anatomical location	DDF


37064156	distant	microbiome	DDF
37064156	distant	microbiome	statistical technique
37064156	distant	DDF	DDF


35743072	distant	chemical	DDF
35743072	distant	DDF	human
35743072	distant	DDF	DDF
35743072	distant	gene	DDF
35743072	distant	chemical	microbiome


31317505	distant	microbiome	DDF
31317505	distant	drug	DDF
31317505	distant	chemical	DDF


34346706	distant	DDF	microbiome
34346706	distant	microbiome	human
34346706	distant	microbiome	DDF
34346706	distant	DDF	human
34346706	distant	human	biomedical technique
34346706	distant	DDF	DDF
34346706	distant	chemical	microbiome
34346706	distant	human	human
34346706	distant	microbiome	chemical
34346706	distant	chemical	biomedical technique
34346706	distant	microbiome	biomedical technique


36216843	distant	DDF	human
36216843	distant	human	biomedical technique
36216843	distant	drug	human
36216843	distant	DDF	DDF


30207256	distant	microbiome	DDF


32791113	distant	microbiome	DDF


34489756	distant	DDF	human
34489756	distant	DDF	DDF


38410510	distant	microbiome	DDF
38410510	distant	DDF	human
38410510	distant	DDF	DDF
38410510	distant	biomedical technique	DDF


36943505	distant	DDF	human
36943505	distant	food	DDF
36943505	distant	microbiome	DDF
36943505	distant	DDF	DDF


36334762	distant	DDF	DDF
36334762	distant	microbiome	anatomical location
36334762	distant	biomedical technique	DDF


37110302	distant	DDF	microbiome
37110302	distant	DDF	anatomical location
37110302	distant	microbiome	DDF
37110302	distant	DDF	human
37110302	distant	drug	microbiome
37110302	distant	DDF	DDF
37110302	distant	chemical	anatomical location
37110302	distant	DDF	animal


37343494	distant	microbiome	DDF
37343494	distant	DDF	human
37343494	distant	microbiome	anatomical location
37343494	distant	DDF	DDF


33307114	distant	DDF	human
33307114	distant	food	DDF
33307114	distant	DDF	DDF
33307114	distant	food	microbiome
33307114	distant	dietary supplement	microbiome


38426291	distant	DDF	human
38426291	distant	DDF	DDF


31505196	distant	chemical	DDF
31505196	distant	DDF	anatomical location
31505196	distant	DDF	human
31505196	distant	gene	anatomical location
31505196	distant	DDF	DDF
31505196	distant	gene	DDF
31505196	distant	animal	biomedical technique
31505196	distant	chemical	anatomical location


33334010	distant	DDF	human
33334010	distant	food	DDF
33334010	distant	DDF	DDF


34691318	distant	chemical	DDF
34691318	distant	anatomical location	biomedical technique
34691318	distant	microbiome	DDF
34691318	distant	food	DDF
34691318	distant	dietary supplement	DDF
34691318	distant	dietary supplement	microbiome


36881113	distant	chemical	DDF
36881113	distant	DDF	microbiome
36881113	distant	DDF	DDF
36881113	distant	DDF	animal


34329424	distant	microbiome	human
34329424	distant	dietary supplement	DDF
34329424	distant	DDF	anatomical location


37414494	distant	DDF	anatomical location
37414494	distant	DDF	human
37414494	distant	drug	microbiome
37414494	distant	DDF	DDF
37414494	distant	drug	drug
37414494	distant	DDF	animal
37414494	distant	drug	DDF


30513869	distant	chemical	DDF
30513869	distant	microbiome	DDF
30513869	distant	dietary supplement	DDF
30513869	distant	chemical	microbiome
30513869	distant	dietary supplement	microbiome


37121952	distant	microbiome	DDF
37121952	distant	chemical	DDF


29031410	distant	microbiome	DDF


29243233	distant	DDF	human


28783713	distant	DDF	bacteria
28783713	distant	DDF	microbiome
28783713	distant	microbiome	DDF
28783713	distant	microbiome	animal
28783713	distant	animal	biomedical technique


38421192	distant	microbiome	DDF
38421192	distant	dietary supplement	DDF
38421192	distant	DDF	DDF
38421192	distant	animal	biomedical technique
38421192	distant	DDF	animal
38421192	distant	dietary supplement	bacteria


38540341	distant	chemical	DDF
38540341	distant	drug	microbiome
38540341	distant	microbiome	animal
38540341	distant	chemical	microbiome
38540341	distant	DDF	animal
38540341	distant	gene	chemical


37943628	distant	microbiome	human
37943628	distant	human	biomedical technique


28610994	distant	chemical	DDF
28610994	distant	microbiome	DDF
28610994	distant	microbiome	animal
28610994	distant	chemical	microbiome
28610994	distant	DDF	animal


28806201	distant	DDF	human
28806201	distant	dietary supplement	DDF


37836527	distant	DDF	human
37836527	distant	microbiome	human
37836527	distant	food	microbiome
37836527	distant	DDF	DDF


37777156	distant	microbiome	DDF
37777156	distant	chemical	DDF
37777156	distant	chemical	anatomical location
37777156	distant	DDF	DDF


38488556	distant	chemical	DDF
38488556	distant	microbiome	DDF
38488556	distant	food	DDF
38488556	distant	DDF	DDF
38488556	distant	chemical	anatomical location


37604976	distant	microbiome	human
37604976	distant	DDF	human
37604976	distant	DDF	DDF
37604976	distant	animal	biomedical technique
37604976	distant	bacteria	animal
37604976	distant	DDF	animal


34650532	distant	microbiome	human
34650532	distant	DDF	human
34650532	distant	bacteria	DDF
34650532	distant	human	biomedical technique
34650532	distant	DDF	DDF
34650532	distant	microbiome	biomedical technique


30838027	distant	DDF	bacteria
30838027	distant	microbiome	human
30838027	distant	microbiome	DDF
30838027	distant	DDF	human
30838027	distant	microbiome	anatomical location


35708472	distant	DDF	microbiome
35708472	distant	DDF	anatomical location
35708472	distant	microbiome	DDF
35708472	distant	DDF	human
35708472	distant	DDF	DDF


38562309	distant	DDF	human
38562309	distant	DDF	DDF


37088645	distant	human	biomedical technique


34576191	distant	microbiome	anatomical location


33517890	distant	chemical	DDF
33517890	distant	bacteria	microbiome
