pmid|annotator|subject_text_span|subject_label|predicate|object_text_span|object_label
37065853|distant|brain disorders|DDF|affect|GM dysbiosis|DDF
37065853|distant|Parkinson's disease|DDF|is a|psychiatric, neurodevelopmental, functional, and neurodegenerative diseases|DDF
37065853|distant|GM dysbiosis|DDF|strike|brain|anatomical location
37065853|distant|Alzheimer's disease|DDF|is a|psychiatric, neurodevelopmental, functional, and neurodegenerative diseases|DDF
33249563|distant|gut microbiota|microbiome|is linked to|immune alterations|DDF
33249563|distant|adolescents|human|used by|16S rRNA gene amplicon sequencing|biomedical technique
33249563|distant|Microbiota-immune alterations|DDF|target|adolescents|human
33045322|distant|Cognitive impairment|DDF|affect|major mood disorders|DDF
33045322|distant|major mood disorders|DDF|is a|serious mental illnesses|DDF
33045322|distant|major depression|DDF|is a|serious mental illnesses|DDF
33045322|distant|Cognitive impairment|DDF|affect|schizophrenia|DDF
33045322|distant|Cognitive impairment|DDF|affect|major depression|DDF
33045322|distant|Cognitive impairment|DDF|affect|serious mental illnesses|DDF
33045322|distant|schizophrenia|DDF|is a|serious mental illnesses|DDF
33045322|distant|Cognitive impairment|DDF|affect|bipolar disorder|DDF
33045322|distant|bipolar disorder|DDF|is a|serious mental illnesses|DDF
36550632|distant|Oxymatrine|dietary supplement|influence|intestinal barrier dysfunction|DDF
36550632|distant|White matter injury|DDF|affect|intracerebral hemorrhage (ICH) patients|human
36550632|distant|gut microbiota|microbiome|is linked to|ICH|DDF
36550632|distant|gut microbiota alteration|DDF|affect|neurological deficits|DDF
36550632|distant|WMI|DDF|strike|distal corticospinal tract (CST) region|anatomical location
36550632|distant|WMI|DDF|affect|intracerebral hemorrhage (ICH) patients|human
36550632|distant|Gut dysbiosis|DDF|affect|neurological disorders|DDF
36550632|distant|ICH|DDF|influence|gut dysbiosis|DDF
36550632|distant|gut microbiota|microbiome|located in|mice|animal
36550632|distant|Oxymatrine|dietary supplement|influence|white matter injury|DDF
36550632|distant|White matter injury|DDF|affect|neurological disorders|DDF
36550632|distant|Oxymatrine|dietary supplement|impact|gut microbiota|microbiome
36550632|distant|gut microbiota alteration|DDF|affect|inflammation|DDF
36550632|distant|intracerebral hemorrhage|DDF|target|mice|animal
36550632|distant|Oxymatrine|dietary supplement|influence|intracerebral hemorrhage|DDF
36550632|distant|WMI|DDF|strike|peri-hematoma region|anatomical location
36550632|distant|ICH|DDF|affect|gut dysbiosis|DDF
30248988|distant|phytochemical|chemical|change effect|colitis|DDF
30248988|distant|curcumin|dietary supplement|change effect|colitis|DDF
30248988|distant|patients|human|used by|Random-effects meta-analysis|statistical technique
