pmid	annotator	subject_label	object_label
35654142	expert_3	DDF	animal


32816830	expert_3	DDF	human


30659564	expert_7	microbiome	DDF


38283894	expert_5	bacteria	human
38283894	expert_5	DDF	human
38283894	expert_5	chemical	human


36072680	expert_6	DDF	DDF
36072680	expert_6	DDF	human
36072680	expert_6	microbiome	DDF


37127945	expert_4	DDF	bacteria
37127945	expert_4	dietary supplement	DDF
37127945	expert_4	DDF	human


36411639	expert_4	bacteria	DDF
36411639	expert_4	chemical	DDF


32545788	expert_6	chemical	DDF




30072879	expert_2	microbiome	animal
30072879	expert_2	chemical	microbiome
30072879	expert_2	DDF	DDF
30072879	expert_2	microbiome	DDF
30072879	expert_2	chemical	chemical
30072879	expert_2	DDF	animal
30072879	expert_2	chemical	DDF


32572814	expert_4	chemical	anatomical location
32572814	expert_4	drug	chemical
32572814	expert_4	chemical	DDF


30828318	expert_5	anatomical location	human
30828318	expert_5	dietary supplement	DDF
30828318	expert_5	microbiome	anatomical location
30828318	expert_5	microbiome	human


31148353	expert_5	chemical	anatomical location
31148353	expert_5	microbiome	anatomical location
31148353	expert_5	DDF	DDF
31148353	expert_5	microbiome	DDF
31148353	expert_5	drug	DDF
31148353	expert_5	chemical	DDF


31821833	expert_5	microbiome	anatomical location
31821833	expert_5	microbiome	DDF


33063712	expert_4	DDF	microbiome


36462169	expert_4	chemical	chemical
36462169	expert_4	DDF	chemical


27698624	expert_2	microbiome	DDF




33938181	expert_5	chemical	microbiome
33938181	expert_5	DDF	bacteria
33938181	expert_5	chemical	chemical
33938181	expert_5	chemical	bacteria
33938181	expert_5	bacteria	chemical
33938181	expert_5	bacteria	bacteria


31917834	expert_2	DDF	DDF
31917834	expert_2	dietary supplement	DDF
31917834	expert_2	microbiome	DDF


38123016	expert_2	DDF	microbiome
38123016	expert_2	DDF	DDF
38123016	expert_2	microbiome	human
38123016	expert_2	dietary supplement	DDF


25231862	expert_1	dietary supplement	microbiome
25231862	expert_1	dietary supplement	DDF
25231862	expert_1	DDF	human


33677218	expert_6	DDF	DDF
33677218	expert_6	DDF	animal
33677218	expert_6	microbiome	DDF


36938477	expert_4	dietary supplement	DDF
36938477	expert_4	DDF	human


31940482	expert_4	microbiome	DDF
31940482	expert_4	anatomical location	animal
31940482	expert_4	bacteria	DDF
31940482	expert_4	DDF	animal
31940482	expert_4	bacteria	chemical


33416892	expert_4	microbiome	DDF




32600151	expert_4	DDF	microbiome
32600151	expert_4	DDF	human
32600151	expert_4	microbiome	DDF


31302116	expert_1	DDF	human
31302116	expert_1	microbiome	anatomical location
31302116	expert_1	microbiome	DDF


34970638	expert_5	microbiome	animal
34970638	expert_5	drug	animal
34970638	expert_5	DDF	anatomical location
34970638	expert_5	animal	biomedical technique
34970638	expert_5	DDF	human
34970638	expert_5	chemical	animal
34970638	expert_5	anatomical location	animal
34970638	expert_5	microbiome	human
34970638	expert_5	bacteria	animal
34970638	expert_5	chemical	anatomical location
34970638	expert_5	DDF	DDF
34970638	expert_5	microbiome	DDF
34970638	expert_5	drug	DDF
34970638	expert_5	DDF	animal
34970638	expert_5	drug	microbiome




36931666	expert_2	DDF	DDF
36931666	expert_2	DDF	human
36931666	expert_2	human	biomedical technique


38686220	expert_4	DDF	human
38686220	expert_4	microbiome	DDF


35798742	expert_7	anatomical location	human
35798742	expert_7	DDF	human
35798742	expert_7	microbiome	human
35798742	expert_7	chemical	human
35798742	expert_7	microbiome	biomedical technique
35798742	expert_7	DDF	DDF
35798742	expert_7	bacteria	human
35798742	expert_7	microbiome	DDF
35798742	expert_7	microbiome	microbiome


37655441	expert_4	bacteria	DDF
37655441	expert_4	bacteria	microbiome


36651663	expert_2	DDF	bacteria
36651663	expert_2	DDF	human
36651663	expert_2	human	biomedical technique


36816743	expert_4	microbiome	DDF


31330299	expert_5	DDF	anatomical location
31330299	expert_5	microbiome	anatomical location
31330299	expert_5	microbiome	DDF


32188376	expert_6	DDF	DDF
32188376	expert_6	DDF	human


27319972	expert_7	DDF	anatomical location
27319972	expert_7	anatomical location	human
27319972	expert_7	DDF	DDF




36699448	expert_2	DDF	bacteria
36699448	expert_2	DDF	human
36699448	expert_2	microbiome	human
36699448	expert_2	microbiome	DDF


37193253	expert_2	DDF	human
37193253	expert_2	DDF	microbiome
37193253	expert_2	DDF	DDF
37193253	expert_2	human	biomedical technique
37193253	expert_2	microbiome	DDF
37193253	expert_2	bacteria	DDF


33505487	expert_7	DDF	human
33505487	expert_7	microbiome	human
33505487	expert_7	chemical	human
33505487	expert_7	bacteria	human
33505487	expert_7	chemical	bacteria






34692176	expert_5	DDF	DDF
34692176	expert_5	DDF	human


31539679	expert_1	microbiome	animal
31539679	expert_1	DDF	microbiome
31539679	expert_1	DDF	DDF
31539679	expert_1	drug	bacteria
31539679	expert_1	anatomical location	animal
31539679	expert_1	bacteria	DDF
31539679	expert_1	DDF	animal
31539679	expert_1	drug	microbiome




35207632	expert_3	DDF	DDF
35207632	expert_3	DDF	human


37607587	expert_2	DDF	DDF
37607587	expert_2	microbiome	DDF


21167931	expert_3	DDF	DDF
21167931	expert_3	chemical	DDF
21167931	expert_3	DDF	chemical




35317228	expert_5	DDF	anatomical location
35317228	expert_5	DDF	DDF
35317228	expert_5	microbiome	anatomical location
35317228	expert_5	microbiome	DDF


33287442	expert_4	dietary supplement	microbiome
33287442	expert_4	microbiome	DDF


25173628	expert_3	microbiome	animal
25173628	expert_3	microbiome	gene
25173628	expert_3	DDF	DDF
25173628	expert_3	microbiome	DDF


32431588	expert_6	DDF	anatomical location
32431588	expert_6	DDF	DDF
32431588	expert_6	chemical	DDF
32431588	expert_6	dietary supplement	DDF


33819374	expert_3	chemical	DDF
33819374	expert_3	microbiome	DDF


28843021	expert_1	DDF	bacteria
28843021	expert_1	human	biomedical technique
28843021	expert_1	microbiome	DDF


34004259	expert_6	microbiome	animal
34004259	expert_6	chemical	animal
34004259	expert_6	microbiome	anatomical location
34004259	expert_6	chemical	microbiome
34004259	expert_6	drug	microbiome


33301807	expert_6	DDF	DDF
33301807	expert_6	microbiome	DDF


27930574	expert_5	dietary supplement	microbiome


32667590	expert_5	chemical	anatomical location
32667590	expert_5	dietary supplement	DDF
32667590	expert_5	microbiome	anatomical location
32667590	expert_5	microbiome	DDF
32667590	expert_5	chemical	microbiome


30033172	expert_2	microbiome	human
30033172	expert_2	microbiome	DDF


27763700	expert_6	dietary supplement	bacteria
27763700	expert_6	dietary supplement	DDF
27763700	expert_6	DDF	animal
27763700	expert_6	chemical	bacteria
27763700	expert_6	chemical	DDF


31383280	expert_7	microbiome	human
31383280	expert_7	DDF	human
31383280	expert_7	microbiome	DDF


