pmid|annotator|subject_start_idx|subject_end_idx|subject_location|subject_text_span|subject_label|predicate|object_start_idx|object_end_idx|object_location|object_text_span|object_label
37065853|distant|492|510|abstract|Alzheimer's disease|DDF|is a|407|481|abstract|psychiatric, neurodevelopmental, functional, and neurodegenerative diseases|DDF
37065853|distant|516|534|abstract|Parkinson's disease|DDF|is a|407|481|abstract|psychiatric, neurodevelopmental, functional, and neurodegenerative diseases|DDF
37065853|distant|543|557|abstract|brain disorders|DDF|affect|585|596|abstract|GM dysbiosis|DDF
37065853|distant|585|596|abstract|GM dysbiosis|DDF|strike|620|624|abstract|brain|anatomical location
33249563|distant|0|28|title|Microbiota-immune alterations|DDF|target|33|43|title|adolescents|human
33249563|distant|499|509|abstract|adolescents|human|used by|440|472|abstract|16S rRNA gene amplicon sequencing|biomedical technique
33249563|distant|581|591|abstract|adolescents|human|used by|440|472|abstract|16S rRNA gene amplicon sequencing|biomedical technique
33249563|distant|1304|1317|abstract|gut microbiota|microbiome|is linked to|1341|1358|abstract|immune alterations|DDF
33045322|distant|0|19|abstract|Cognitive impairment|DDF|affect|73|96|abstract|serious mental illnesses|DDF
33045322|distant|0|19|abstract|Cognitive impairment|DDF|affect|106|118|abstract|schizophrenia|DDF
33045322|distant|0|19|abstract|Cognitive impairment|DDF|affect|124|143|abstract|major mood disorders|DDF
33045322|distant|0|19|abstract|Cognitive impairment|DDF|affect|146|161|abstract|major depression|DDF
33045322|distant|0|19|abstract|Cognitive impairment|DDF|affect|167|182|abstract|bipolar disorder|DDF
33045322|distant|106|118|abstract|schizophrenia|DDF|is a|73|96|abstract|serious mental illnesses|DDF
33045322|distant|124|143|abstract|major mood disorders|DDF|is a|73|96|abstract|serious mental illnesses|DDF
33045322|distant|146|161|abstract|major depression|DDF|is a|73|96|abstract|serious mental illnesses|DDF
33045322|distant|167|182|abstract|bipolar disorder|DDF|is a|73|96|abstract|serious mental illnesses|DDF
36550632|distant|0|9|title|Oxymatrine|dietary supplement|influence|23|41|title|white matter injury|DDF
36550632|distant|0|9|title|Oxymatrine|dietary supplement|impact|57|70|title|gut microbiota|microbiome
36550632|distant|0|9|title|Oxymatrine|dietary supplement|influence|78|101|title|intracerebral hemorrhage|DDF
36550632|distant|0|9|title|Oxymatrine|dietary supplement|influence|947|976|abstract|intestinal barrier dysfunction|DDF
36550632|distant|57|70|title|gut microbiota|microbiome|located in|106|109|title|mice|animal
36550632|distant|78|101|title|intracerebral hemorrhage|DDF|target|106|109|title|mice|animal
36550632|distant|0|18|abstract|White matter injury|DDF|target|76|114|abstract|intracerebral hemorrhage (ICH) patients|human
36550632|distant|0|18|abstract|White matter injury|DDF|affect|178|199|abstract|neurological disorders|DDF
36550632|distant|21|23|abstract|WMI|DDF|target|76|114|abstract|intracerebral hemorrhage (ICH) patients|human
36550632|distant|117|129|abstract|Gut dysbiosis|DDF|affect|178|199|abstract|neurological disorders|DDF
36550632|distant|627|640|abstract|gut microbiota|microbiome|is linked to|665|667|abstract|ICH|DDF
36550632|distant|740|742|abstract|WMI|DDF|strike|751|770|abstract|peri-hematoma region|anatomical location
36550632|distant|740|742|abstract|WMI|DDF|strike|776|814|abstract|distal corticospinal tract (CST) region|anatomical location
36550632|distant|827|829|abstract|ICH|DDF|affect|866|878|abstract|gut dysbiosis|DDF
36550632|distant|827|829|abstract|ICH|DDF|affect|866|878|abstract|gut dysbiosis|DDF
36550632|distant|1040|1064|abstract|gut microbiota alteration|DDF|affect|1100|1111|abstract|inflammation|DDF
36550632|distant|1040|1064|abstract|gut microbiota alteration|DDF|affect|1151|1171|abstract|neurological deficits|DDF
30248988|distant|39|46|title|Curcumin|dietary supplement|influence|52|75|title|Irritable Bowel Syndrome|DDF
30248988|distant|194|201|abstract|curcumin|dietary supplement|influence|352|358|abstract|colitis|DDF
30248988|distant|194|201|abstract|curcumin|dietary supplement|influence|352|358|abstract|colitis|DDF
30248988|distant|226|238|abstract|phytochemical|chemical|influence|352|358|abstract|colitis|DDF
30248988|distant|226|238|abstract|phytochemical|chemical|influence|352|358|abstract|colitis|DDF
30248988|distant|426|433|abstract|curcumin|dietary supplement|influence|444|455|abstract|IBS symptoms|DDF
30248988|distant|490|497|abstract|turmeric|dietary supplement|influence|444|455|abstract|IBS symptoms|DDF
30248988|distant|520|536|abstract|diferuloylmethane|chemical|influence|444|455|abstract|IBS symptoms|DDF
30248988|distant|541|551|abstract|curcuminoid|chemical|influence|444|455|abstract|IBS symptoms|DDF
30248988|distant|969|976|abstract|curcumin|dietary supplement|influence|1046|1057|abstract|IBS symptoms|DDF
