pmid|annotator|subject_label|object_label
36479494|student_A|dietary supplement|microbiome
36479494|student_A|dietary supplement|DDF
38891970|student_A|DDF|human
33381005|student_A|animal|biomedical technique
33381005|student_A|microbiome|DDF
33381005|student_A|drug|DDF
33381005|student_A|DDF|animal
33381005|student_A|drug|microbiome
33381005|student_A|bacteria|microbiome
38173790|student_A|DDF|human
38173790|student_A|microbiome|anatomical location
38173790|student_A|dietary supplement|DDF
38173790|student_A|microbiome|DDF
35263739|student_A|DDF|human
35263739|student_A|microbiome|anatomical location
35263739|student_A|DDF|microbiome
35263739|student_A|microbiome|DDF
35263739|student_A|bacteria|microbiome
36406865|student_A|DDF|human
36406865|student_A|microbiome|human
36406865|student_A|bacteria|human
36406865|student_A|microbiome|DDF
36406865|student_A|bacteria|DDF
33099131|student_A|DDF|human
33099131|student_A|microbiome|human
33099131|student_A|microbiome|biomedical technique
33099131|student_A|human|biomedical technique
33099131|student_A|bacteria|DDF
32941730|student_B|bacteria|animal
32941730|student_B|DDF|animal
32941730|student_B|animal|biomedical technique
32733812|student_A|chemical|DDF
32733812|student_A|bacteria|microbiome
32733812|student_A|microbiome|DDF
39237483|student_B|DDF|human
39237483|student_B|microbiome|human
39237483|student_B|microbiome|biomedical technique
39237483|student_B|DDF|microbiome
39237483|student_B|microbiome|DDF
39237483|student_B|bacteria|DDF
39237483|student_B|bacteria|microbiome
34769091|student_A|chemical|anatomical location
35411052|student_A|chemical|human
35411052|student_A|DDF|bacteria
35411052|student_A|microbiome|DDF
35411052|student_A|chemical|DDF
35411052|student_A|bacteria|chemical
32733199|student_A|microbiome|DDF
31576631|student_A|microbiome|animal
31576631|student_A|animal|biomedical technique
31576631|student_A|chemical|anatomical location
31576631|student_A|microbiome|anatomical location
31576631|student_A|DDF|animal
31576631|student_A|DDF|DDF
31576631|student_A|anatomical location|animal
31576631|student_A|chemical|microbiome
31576631|student_A|chemical|DDF
33327916|student_B|dietary supplement|microbiome
33327916|student_B|dietary supplement|DDF
33327916|student_B|microbiome|anatomical location
33327916|student_B|microbiome|DDF
33643026|student_A|DDF|human
33643026|student_A|microbiome|human
33643026|student_A|DDF|chemical
33643026|student_A|DDF|bacteria
33643026|student_A|DDF|DDF
33643026|student_A|microbiome|DDF
33643026|student_A|chemical|microbiome
33070123|student_A|food|DDF
33070123|student_A|dietary supplement|DDF
33070123|student_A|food|microbiome
33070123|student_A|dietary supplement|microbiome
33070123|student_A|DDF|microbiome
33070123|student_A|microbiome|DDF
33070123|student_A|chemical|DDF
33070123|student_A|drug|microbiome
35931717|student_A|bacteria|DDF
35931717|student_A|DDF|DDF
35931717|student_A|microbiome|DDF
35052575|student_A|chemical|microbiome
35730414|student_A|DDF|human
35730414|student_A|food|DDF
35730414|student_A|dietary supplement|DDF
35730414|student_A|DDF|microbiome
35730414|student_A|DDF|DDF
35730414|student_A|microbiome|DDF
36613586|student_B|bacteria|DDF
36613586|student_B|dietary supplement|DDF
36613586|student_B|microbiome|anatomical location
36613586|student_B|bacteria|microbiome
38914414|student_A|dietary supplement|DDF
38914414|student_A|microbiome|DDF
35362965|student_A|bacteria|DDF
35362965|student_A|anatomical location|human
32557853|student_A|DDF|human
32557853|student_A|microbiome|human
32557853|student_A|microbiome|biomedical technique
32557853|student_A|DDF|bacteria
32557853|student_A|human|biomedical technique
32557853|student_A|microbiome|DDF
32557853|student_A|chemical|DDF
35666299|student_B|DDF|human
35666299|student_B|anatomical location|animal
35666299|student_B|microbiome|anatomical location
35666299|student_B|microbiome|DDF
35666299|student_B|chemical|gene
35666299|student_B|chemical|microbiome
35666299|student_B|chemical|DDF
35666299|student_B|bacteria|microbiome
38868440|student_A|DDF|DDF
38868440|student_A|DDF|human
39247907|student_A|microbiome|animal
39247907|student_A|DDF|microbiome
39247907|student_A|DDF|bacteria
39247907|student_A|microbiome|DDF
39247907|student_A|DDF|animal
36289839|student_B|anatomical location|human
36289839|student_B|DDF|human
36289839|student_B|microbiome|human
36289839|student_B|microbiome|anatomical location
36289839|student_B|microbiome|DDF
36289839|student_B|chemical|microbiome
38975363|student_A|bacteria|DDF
38975363|student_A|microbiome|DDF
39375584|student_A|DDF|human
39375584|student_A|food|bacteria
39375584|student_A|food|DDF
39375584|student_A|microbiome|human
39375584|student_A|dietary supplement|DDF
39375584|student_A|food|microbiome
39375584|student_A|microbiome|biomedical technique
36155528|student_A|DDF|anatomical location
36155528|student_A|microbiome|animal
36155528|student_A|microbiome|biomedical technique
36155528|student_A|DDF|microbiome
36155528|student_A|microbiome|DDF
36155528|student_A|bacteria|microbiome
36087572|student_A|DDF|human
36087572|student_A|microbiome|human
36087572|student_A|dietary supplement|DDF
36087572|student_A|dietary supplement|microbiome
36087572|student_A|DDF|microbiome
36087572|student_A|DDF|DDF
36087572|student_A|human|biomedical technique
33704660|student_A|DDF|human
33704660|student_A|microbiome|DDF
32266160|student_A|microbiome|human
32266160|student_A|DDF|human
32266160|student_A|microbiome|DDF
35917710|student_A|DDF|anatomical location
35917710|student_A|chemical|anatomical location
35917710|student_A|chemical|DDF
32088434|student_A|microbiome|animal
32088434|student_A|chemical|microbiome
32088434|student_A|DDF|DDF
32088434|student_A|DDF|animal
32088434|student_A|chemical|DDF
35352107|student_A|anatomical location|human
35352107|student_A|microbiome|human
35352107|student_A|dietary supplement|DDF
35352107|student_A|dietary supplement|microbiome
35352107|student_A|microbiome|DDF
35352107|student_A|bacteria|DDF
35352107|student_A|chemical|microbiome
35352107|student_A|bacteria|microbiome
39452233|student_A|dietary supplement|DDF
36458229|student_B|microbiome|DDF
35956395|student_B|microbiome|human
35956395|student_B|DDF|human
35956395|student_B|chemical|DDF
39291634|student_B|dietary supplement|DDF
39291634|student_B|DDF|human
39291634|student_B|human|biomedical technique
39291634|student_B|microbiome|DDF
32643435|student_A|DDF|human
32643435|student_A|microbiome|DDF
33803607|student_B|food|DDF
33803607|student_B|food|bacteria
32735929|student_B|dietary supplement|DDF
32735929|student_B|microbiome|anatomical location
32735929|student_B|dietary supplement|microbiome
32735929|student_B|DDF|DDF
32735929|student_B|microbiome|DDF
35594949|student_A|microbiome|animal
35594949|student_A|animal|biomedical technique
35594949|student_A|DDF|human
35594949|student_A|chemical|microbiome
35594949|student_A|DDF|DDF
35594949|student_A|microbiome|DDF
35594949|student_A|drug|DDF
35594949|student_A|bacteria|DDF
35594949|student_A|DDF|animal
35594949|student_A|chemical|DDF
35594949|student_A|drug|microbiome
35594949|student_A|bacteria|microbiome
34128115|student_B|microbiome|biomedical technique
34128115|student_B|human|biomedical technique
34128115|student_B|microbiome|DDF
34128115|student_B|drug|DDF
34128115|student_B|drug|microbiome
36263629|student_A|human|biomedical technique
36263629|student_A|DDF|human
36263629|student_A|chemical|DDF
38959253|student_A|DDF|human
38959253|student_A|microbiome|human
38959253|student_A|microbiome|anatomical location
38959253|student_A|bacteria|human
38959253|student_A|microbiome|DDF
38959253|student_A|bacteria|DDF
38959253|student_A|chemical|DDF
35812394|student_B|dietary supplement|DDF
35812394|student_B|DDF|chemical
32066253|student_A|DDF|anatomical location
32066253|student_A|microbiome|animal
32066253|student_A|bacteria|animal
32066253|student_A|dietary supplement|DDF
32066253|student_A|dietary supplement|microbiome
32066253|student_A|microbiome|DDF
32066253|student_A|bacteria|DDF
32066253|student_A|DDF|animal
32066253|student_A|bacteria|microbiome
33153085|student_B|DDF|chemical
33153085|student_B|microbiome|anatomical location
33153085|student_B|microbiome|DDF
39063241|student_A|DDF|human
39063241|student_A|drug|human
39063241|student_A|DDF|DDF
39063241|student_A|microbiome|DDF
39063241|student_A|drug|DDF
39063241|student_A|bacteria|DDF
39063241|student_A|chemical|DDF
32282304|student_A|microbiome|anatomical location
32282304|student_A|microbiome|DDF
32039674|student_A|dietary supplement|microbiome
32039674|student_A|chemical|bacteria
32039674|student_A|bacteria|chemical
34413194|student_A|bacteria|DDF
34413194|student_A|microbiome|DDF
35309241|student_B|DDF|human
35309241|student_B|chemical|DDF
32516966|student_A|anatomical location|human
