pmid|annotator|subject_label|predicate|object_label
36479494|student_A|dietary supplement|influence|DDF
36479494|student_A|dietary supplement|impact|microbiome
38891970|student_A|DDF|target|human
33381005|student_A|drug|change effect|DDF
33381005|student_A|bacteria|part of|microbiome
33381005|student_A|microbiome|is linked to|DDF
33381005|student_A|animal|used by|biomedical technique
33381005|student_A|drug|impact|microbiome
33381005|student_A|DDF|target|animal
38173790|student_A|microbiome|located in|anatomical location
38173790|student_A|dietary supplement|influence|DDF
38173790|student_A|microbiome|is linked to|DDF
38173790|student_A|DDF|target|human
35263739|student_A|DDF|target|human
35263739|student_A|DDF|change abundance|microbiome
35263739|student_A|microbiome|located in|anatomical location
35263739|student_A|microbiome|is linked to|DDF
35263739|student_A|bacteria|part of|microbiome
36406865|student_A|DDF|target|human
36406865|student_A|bacteria|located in|human
36406865|student_A|bacteria|influence|DDF
36406865|student_A|microbiome|located in|human
36406865|student_A|microbiome|is linked to|DDF
33099131|student_A|DDF|target|human
33099131|student_A|human|used by|biomedical technique
33099131|student_A|bacteria|influence|DDF
33099131|student_A|microbiome|located in|human
33099131|student_A|microbiome|used by|biomedical technique
32941730|student_B|DDF|target|animal
32941730|student_B|bacteria|located in|animal
32941730|student_B|animal|used by|biomedical technique
32733812|student_A|bacteria|part of|microbiome
32733812|student_A|microbiome|is linked to|DDF
32733812|student_A|chemical|influence|DDF
39237483|student_B|DDF|target|human
39237483|student_B|DDF|change abundance|microbiome
39237483|student_B|bacteria|influence|DDF
39237483|student_B|microbiome|located in|human
39237483|student_B|microbiome|used by|biomedical technique
39237483|student_B|microbiome|is linked to|DDF
39237483|student_B|bacteria|part of|microbiome
34769091|student_A|chemical|located in|anatomical location
35411052|student_A|DDF|change abundance|bacteria
35411052|student_A|chemical|located in|human
35411052|student_A|microbiome|is linked to|DDF
35411052|student_A|chemical|influence|DDF
35411052|student_A|bacteria|interact|chemical
32733199|student_A|microbiome|is linked to|DDF
31576631|student_A|DDF|affect|DDF
31576631|student_A|microbiome|located in|animal
31576631|student_A|chemical|impact|microbiome
31576631|student_A|chemical|located in|anatomical location
31576631|student_A|microbiome|located in|anatomical location
31576631|student_A|anatomical location|located in|animal
31576631|student_A|animal|used by|biomedical technique
31576631|student_A|chemical|influence|DDF
31576631|student_A|DDF|target|animal
33327916|student_B|microbiome|located in|anatomical location
33327916|student_B|dietary supplement|impact|microbiome
33327916|student_B|dietary supplement|influence|DDF
33327916|student_B|microbiome|is linked to|DDF
33643026|student_A|DDF|target|human
33643026|student_A|DDF|change abundance|bacteria
33643026|student_A|DDF|interact|chemical
33643026|student_A|DDF|affect|DDF
33643026|student_A|microbiome|located in|human
33643026|student_A|chemical|produced by|microbiome
