pmid	annotator	subject_text_span	subject_label	predicate	object_text_span	object_label
36479494	student_A	polyphenols	dietary supplement	influence	brain health	DDF
36479494	student_A	Dietary supplements	dietary supplement	influence	neurological diseases	DDF
36479494	student_A	Dietary supplements	dietary supplement	influence	brain aging	DDF
36479494	student_A	healthy diet	dietary supplement	influence	neurological diseases	DDF
36479494	student_A	Diet	dietary supplement	influence	neurological diseases	DDF
36479494	student_A	diet	dietary supplement	influence	neurological diseases	DDF
36479494	student_A	B vitamins	dietary supplement	influence	brain health	DDF
36479494	student_A	healthy diet	dietary supplement	influence	brain aging	DDF
36479494	student_A	omega-3 fatty acids	dietary supplement	influence	neurological diseases	DDF
36479494	student_A	Mediterranean diet	dietary supplement	influence	Parkinson's	DDF
36479494	student_A	MedDiet	dietary supplement	influence	Alzheimer's	DDF
36479494	student_A	Mediterranean diet	dietary supplement	influence	Huntington's diseases	DDF
36479494	student_A	polyphenols	dietary supplement	influence	neurological diseases	DDF
36479494	student_A	MedDiet	dietary supplement	influence	neurological diseases	DDF
36479494	student_A	MedDiet	dietary supplement	influence	cognitive decline	DDF
36479494	student_A	Mediterranean diet	dietary supplement	influence	neurodegenerative diseases	DDF
36479494	student_A	unhealthy diet	dietary supplement	influence	neurodegenerative diseases	DDF
36479494	student_A	B vitamins	dietary supplement	influence	neurological diseases	DDF
36479494	student_A	ayurvedic herbs	dietary supplement	influence	brain health	DDF
36479494	student_A	MedDiet	dietary supplement	impact	gut microbiota	microbiome
36479494	student_A	MedDiet	dietary supplement	influence	Parkinson's	DDF
36479494	student_A	Mediterranean diet	dietary supplement	influence	Alzheimer's	DDF
36479494	student_A	ayurvedic herbs	dietary supplement	influence	neurological diseases	DDF
36479494	student_A	MedDiet	dietary supplement	influence	Huntington's diseases	DDF
36479494	student_A	Diet	dietary supplement	influence	mental health	DDF
36479494	student_A	omega-3 fatty acids	dietary supplement	influence	brain health	DDF
36479494	student_A	diet	dietary supplement	influence	brain health	DDF
36479494	student_A	Mediterranean diet	dietary supplement	influence	neurological diseases	DDF
36479494	student_A	MedDiet	dietary supplement	influence	neurodegenerative diseases	DDF
36479494	student_A	Mediterranean diet	dietary supplement	influence	cognitive decline	DDF
36479494	student_A	healthy diet	dietary supplement	influence	brain health	DDF


38891970	student_A	Depression	DDF	target	patients	human
38891970	student_A	depressive disorder	DDF	target	patients	human
38891970	student_A	depression	DDF	target	patients	human


33381005	student_A	uncultured_bacterium_g_Bacillus	bacteria	part of	MPTP group gut microbiota	microbiome
33381005	student_A	Gut Microbiota	microbiome	is linked to	Parkinson's Disease	DDF
33381005	student_A	fisetin	drug	change effect	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP)-induced dopaminergic neurodegeneration	DDF
33381005	student_A	Fisetin	drug	impact	Gut Microbiota	microbiome
33381005	student_A	group	animal	used by	16S rRNA (V3 and V4 regions) sequencing	biomedical technique
33381005	student_A	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP)-induced dopaminergic neurodegeneration	DDF	target	mice	animal
33381005	student_A	fisetin	drug	change effect	PD	DDF
33381005	student_A	uncultured_bacterium_g_Escherichia-Shigella	bacteria	part of	fisetin intervented MPTP group gut microbiota	microbiome
33381005	student_A	Lachnospiraceae	bacteria	part of	MPTP group gut microbiota	microbiome
33381005	student_A	uncultured_bacterium_g_Bacillus	bacteria	part of	fisetin intervented MPTP group gut microbiota	microbiome
