pmid	annotator	subject_start_idx	subject_end_idx	subject_location	subject_text_span	subject_label	predicate	object_start_idx	object_end_idx	object_location	object_text_span	object_label
36479494	student_A	0	18	title	Dietary supplements	dietary supplement	influence	23	43	title	neurological diseases	DDF
36479494	student_A	0	18	title	Dietary supplements	dietary supplement	influence	49	59	title	brain aging	DDF
36479494	student_A	2	13	abstract	healthy diet	dietary supplement	influence	81	92	abstract	brain health	DDF
36479494	student_A	95	98	abstract	Diet	dietary supplement	influence	141	161	abstract	neurological diseases	DDF
36479494	student_A	95	98	abstract	Diet	dietary supplement	influence	198	210	abstract	mental health	DDF
36479494	student_A	265	278	abstract	unhealthy diet	dietary supplement	influence	313	338	abstract	neurodegenerative diseases	DDF
36479494	student_A	366	377	abstract	healthy diet	dietary supplement	influence	432	452	abstract	neurological diseases	DDF
36479494	student_A	366	377	abstract	healthy diet	dietary supplement	influence	458	468	abstract	brain aging	DDF
36479494	student_A	665	682	abstract	Mediterranean diet	dietary supplement	influence	898	918	abstract	neurological diseases	DDF
36479494	student_A	665	682	abstract	Mediterranean diet	dietary supplement	influence	933	949	abstract	cognitive decline	DDF
36479494	student_A	665	682	abstract	Mediterranean diet	dietary supplement	influence	954	979	abstract	neurodegenerative diseases	DDF
36479494	student_A	665	682	abstract	Mediterranean diet	dietary supplement	influence	989	999	abstract	Alzheimer's	DDF
36479494	student_A	665	682	abstract	Mediterranean diet	dietary supplement	influence	1002	1012	abstract	Parkinson's	DDF
36479494	student_A	665	682	abstract	Mediterranean diet	dietary supplement	influence	1018	1038	abstract	Huntington's diseases	DDF
36479494	student_A	685	691	abstract	MedDiet	dietary supplement	influence	898	918	abstract	neurological diseases	DDF
36479494	student_A	685	691	abstract	MedDiet	dietary supplement	influence	933	949	abstract	cognitive decline	DDF
36479494	student_A	685	691	abstract	MedDiet	dietary supplement	influence	954	979	abstract	neurodegenerative diseases	DDF
36479494	student_A	685	691	abstract	MedDiet	dietary supplement	influence	989	999	abstract	Alzheimer's	DDF
36479494	student_A	685	691	abstract	MedDiet	dietary supplement	influence	1002	1012	abstract	Parkinson's	DDF
36479494	student_A	685	691	abstract	MedDiet	dietary supplement	influence	1018	1038	abstract	Huntington's diseases	DDF
36479494	student_A	1045	1051	abstract	MedDiet	dietary supplement	impact	1115	1128	abstract	gut microbiota	microbiome
36479494	student_A	1160	1163	abstract	diet	dietary supplement	influence	1319	1339	abstract	neurological diseases	DDF
36479494	student_A	1160	1163	abstract	diet	dietary supplement	influence	1349	1360	abstract	brain health	DDF
36479494	student_A	1375	1385	abstract	polyphenols	dietary supplement	influence	1319	1339	abstract	neurological diseases	DDF
36479494	student_A	1375	1385	abstract	polyphenols	dietary supplement	influence	1349	1360	abstract	brain health	DDF
36479494	student_A	1388	1406	abstract	omega-3 fatty acids	dietary supplement	influence	1319	1339	abstract	neurological diseases	DDF
36479494	student_A	1388	1406	abstract	omega-3 fatty acids	dietary supplement	influence	1349	1360	abstract	brain health	DDF
36479494	student_A	1409	1418	abstract	B vitamins	dietary supplement	influence	1319	1339	abstract	neurological diseases	DDF
36479494	student_A	1409	1418	abstract	B vitamins	dietary supplement	influence	1349	1360	abstract	brain health	DDF
36479494	student_A	1432	1446	abstract	ayurvedic herbs	dietary supplement	influence	1319	1339	abstract	neurological diseases	DDF
36479494	student_A	1432	1446	abstract	ayurvedic herbs	dietary supplement	influence	1349	1360	abstract	brain health	DDF


38891970	student_A	52	61	title	Depression	DDF	target	701	708	abstract	patients	human
38891970	student_A	10	28	abstract	depressive disorder	DDF	target	701	708	abstract	patients	human
38891970	student_A	579	588	abstract	depression	DDF	target	701	708	abstract	patients	human
38891970	student_A	715	724	abstract	depression	DDF	target	701	708	abstract	patients	human
38891970	student_A	895	904	abstract	depression	DDF	target	701	708	abstract	patients	human
38891970	student_A	1005	1014	abstract	depression	DDF	target	701	708	abstract	patients	human
38891970	student_A	1395	1404	abstract	depression	DDF	target	701	708	abstract	patients	human


33381005	student_A	0	6	title	Fisetin	drug	impact	18	31	title	Gut Microbiota	microbiome
33381005	student_A	0	6	title	Fisetin	drug	change effect	85	103	title	Parkinson's Disease	DDF
33381005	student_A	18	31	title	Gut Microbiota	microbiome	is linked to	85	103	title	Parkinson's Disease	DDF
33381005	student_A	95	101	abstract	fisetin	drug	change effect	152	170	abstract	Parkinson's disease	DDF
33381005	student_A	95	101	abstract	fisetin	drug	change effect	173	174	abstract	PD	DDF
33381005	student_A	141	147	abstract	fisetin	drug	change effect	152	170	abstract	Parkinson's disease	DDF
33381005	student_A	141	147	abstract	fisetin	drug	change effect	173	174	abstract	PD	DDF
33381005	student_A	225	231	abstract	fisetin	drug	change effect	258	347	abstract	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP)-induced dopaminergic neurodegeneration	DDF
33381005	student_A	258	347	abstract	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP)-induced dopaminergic neurodegeneration	DDF	target	352	355	abstract	mice	animal
33381005	student_A	402	415	abstract	gut microbiota	microbiome	is linked to	421	422	abstract	PD	DDF
33381005	student_A	465	468	abstract	mice	animal	used by	503	541	abstract	16S rRNA (V3 and V4 regions) sequencing	biomedical technique
33381005	student_A	480	484	abstract	group	animal	used by	503	541	abstract	16S rRNA (V3 and V4 regions) sequencing	biomedical technique
33381005	student_A	570	576	abstract	fisetin	drug	impact	629	642	abstract	gut microbiota	microbiome
33381005	student_A	629	642	abstract	gut microbiota	microbiome	is linked to	674	675	abstract	PD	DDF
33381005	student_A	824	838	abstract	Lachnospiraceae	bacteria	part of	968	992	abstract	MPTP group gut microbiota	microbiome
33381005	student_A	824	838	abstract	Lachnospiraceae	bacteria	part of	732	776	abstract	fisetin intervented MPTP group gut microbiota	microbiome
33381005	student_A	879	921	abstract	uncultured_bacterium_g_Escherichia-Shigella	bacteria	part of	968	992	abstract	MPTP group gut microbiota	microbiome
33381005	student_A	879	921	abstract	uncultured_bacterium_g_Escherichia-Shigella	bacteria	part of	732	776	abstract	fisetin intervented MPTP group gut microbiota	microbiome
33381005	student_A	927	957	abstract	uncultured_bacterium_g_Bacillus	bacteria	part of	968	992	abstract	MPTP group gut microbiota	microbiome
33381005	student_A	927	957	abstract	uncultured_bacterium_g_Bacillus	bacteria	part of	732	776	abstract	fisetin intervented MPTP group gut microbiota	microbiome
33381005	student_A	1025	1031	abstract	fisetin	drug	change effect	1068	1084	abstract	neurodegeneration	DDF
33381005	student_A	1025	1031	abstract	fisetin	drug	impact	1131	1144	abstract	gut microbiota	microbiome
33381005	student_A	1131	1144	abstract	gut microbiota	microbiome	is linked to	1068	1084	abstract	neurodegeneration	DDF
