pmid|annotator|subject_label|predicate|object_label
38068763|expert_3|DDF|target|human
35965349|expert_7|drug|impact|microbiome
35965349|expert_7|anatomical location|located in|animal
35965349|expert_7|drug|change effect|DDF
35965349|expert_7|drug|administered|animal
34870091|expert_4|DDF|target|human
34870091|expert_4|microbiome|located in|human
34870091|expert_4|microbiome|is linked to|DDF
28158162|expert_2|DDF|target|human
28158162|expert_2|dietary supplement|administered|human
28158162|expert_2|DDF|affect|DDF
28158162|expert_2|DDF|change abundance|microbiome
28158162|expert_2|dietary supplement|influence|DDF
28158162|expert_2|microbiome|is linked to|DDF
34172092|expert_6|microbiome|located in|animal
34172092|expert_6|bacteria|influence|DDF
34172092|expert_6|microbiome|is linked to|DDF
34172092|expert_6|chemical|influence|DDF
34172092|expert_6|drug|impact|microbiome
34172092|expert_6|DDF|target|animal
37845499|expert_3|DDF|target|human
37845499|expert_3|DDF|affect|DDF
37845499|expert_3|microbiome|located in|anatomical location
37845499|expert_3|microbiome|is linked to|DDF
37845499|expert_3|bacteria|part of|microbiome
37371676|expert_1|DDF|affect|DDF
37371676|expert_1|microbiome|is linked to|DDF
37371676|expert_1|chemical|influence|DDF
37574818|expert_2|DDF|target|human
37574818|expert_2|microbiome|located in|animal
37574818|expert_2|bacteria|influence|DDF
37574818|expert_2|chemical|located in|animal
37574818|expert_2|bacteria|change expression|gene
37574818|expert_2|DDF|is a|DDF
37574818|expert_2|bacteria|interact|bacteria
37574818|expert_2|microbiome|is linked to|DDF
37574818|expert_2|bacteria|part of|microbiome
37574818|expert_2|bacteria|interact|chemical
37574818|expert_2|DDF|target|animal
37574818|expert_2|anatomical location|located in|human
37574818|expert_2|bacteria|located in|animal
37571393|expert_2|DDF|target|human
37571393|expert_2|DDF|affect|DDF
37571393|expert_2|dietary supplement|influence|DDF
37571393|expert_2|DDF|is a|DDF
37571393|expert_2|dietary supplement|change expression|gene
37841274|expert_4|chemical|influence|DDF
37841274|expert_4|DDF|interact|chemical
37841274|expert_4|chemical|located in|anatomical location
37485660|expert_4|dietary supplement|influence|DDF
37485660|expert_4|dietary supplement|impact|microbiome
37485660|expert_4|microbiome|located in|animal
34098340|expert_1|microbiome|used by|biomedical technique
34098340|expert_1|microbiome|located in|animal
38350463|expert_4|chemical|located in|anatomical location
29352709|expert_7|DDF|target|human
29352709|expert_7|microbiome|located in|human
29352709|expert_7|microbiome|is linked to|DDF
29352709|expert_7|human|used by|biomedical technique
33511258|expert_1|DDF|target|human
33511258|expert_1|dietary supplement|impact|bacteria
33511258|expert_1|bacteria|influence|DDF
33511258|expert_1|microbiome|located in|human
33511258|expert_1|dietary supplement|influence|DDF
33511258|expert_1|microbiome|is linked to|DDF
33511258|expert_1|bacteria|part of|microbiome
33422110|expert_7|DDF|target|human
33422110|expert_7|chemical|impact|bacteria
33422110|expert_7|dietary supplement|influence|DDF
33422110|expert_7|chemical|influence|DDF
34985325|expert_2|DDF|affect|DDF
34985325|expert_2|microbiome|located in|anatomical location
34985325|expert_2|dietary supplement|influence|DDF
34985325|expert_2|microbiome|is linked to|DDF
34985325|expert_2|bacteria|part of|microbiome
36550591|expert_3|DDF|target|human
36550591|expert_3|microbiome|located in|human
36550591|expert_3|microbiome|located in|animal
36550591|expert_3|microbiome|is linked to|DDF
30459574|expert_6|DDF|affect|DDF
30459574|expert_6|dietary supplement|impact|bacteria
30459574|expert_6|dietary supplement|influence|DDF
30459574|expert_6|microbiome|is linked to|DDF
30459574|expert_6|DDF|target|animal
38026003|expert_5|DDF|affect|DDF
38026003|expert_5|microbiome|located in|animal
38026003|expert_5|microbiome|located in|human
38026003|expert_5|microbiome|is linked to|DDF
33194817|expert_4|DDF|target|human
33194817|expert_4|DDF|change abundance|bacteria
33194817|expert_4|DDF|affect|DDF
33194817|expert_4|human|used by|biomedical technique
33194817|expert_4|DDF|change abundance|microbiome
29022384|expert_2|bacteria|located in|human
29022384|expert_2|human|used by|biomedical technique
29022384|expert_2|microbiome|used by|biomedical technique
29022384|expert_2|bacteria|part of|microbiome
29022384|expert_2|microbiome|compared to|microbiome
29857583|expert_1|DDF|change abundance|bacteria
29857583|expert_1|microbiome|is linked to|DDF
34758889|expert_4|DDF|change abundance|bacteria
34758889|expert_4|DDF|affect|DDF
34758889|expert_4|microbiome|located in|animal
34758889|expert_4|DDF|change abundance|microbiome
34758889|expert_4|chemical|located in|animal
34758889|expert_4|anatomical location|located in|animal
34758889|expert_4|animal|used by|biomedical technique
34758889|expert_4|chemical|influence|DDF
34758889|expert_4|DDF|target|animal
34758889|expert_4|microbiome|is linked to|DDF
37881577|expert_6|DDF|target|animal
37881577|expert_6|DDF|affect|DDF
37881577|expert_6|microbiome|is linked to|DDF
37881577|expert_6|animal|used by|biomedical technique
36984505|expert_5|DDF|target|human
36984505|expert_5|DDF|affect|DDF
36984505|expert_5|bacteria|influence|DDF
36984505|expert_5|chemical|influence|DDF
36984505|expert_5|DDF|is a|DDF
36984505|expert_5|dietary supplement|influence|DDF
36984505|expert_5|microbiome|is linked to|DDF
36984505|expert_5|bacteria|part of|microbiome
32979562|expert_3|DDF|target|human
32979562|expert_3|DDF|change abundance|bacteria
32979562|expert_3|microbiome|used by|biomedical technique
34961418|expert_2|DDF|target|human
34961418|expert_2|dietary supplement|administered|human
34961418|expert_2|DDF|affect|DDF
34961418|expert_2|dietary supplement|impact|bacteria
