pmid|annotator|subject_label|predicate|object_label
37065853|distant|DDF|strike|anatomical location
37065853|distant|DDF|is a|DDF
37065853|distant|DDF|affect|DDF
33249563|distant|human|used by|biomedical technique
33249563|distant|microbiome|is linked to|DDF
33249563|distant|DDF|target|human
33045322|distant|DDF|is a|DDF
33045322|distant|DDF|affect|DDF
36550632|distant|microbiome|is linked to|DDF
36550632|distant|dietary supplement|influence|DDF
36550632|distant|DDF|strike|anatomical location
36550632|distant|DDF|affect|human
36550632|distant|DDF|affect|DDF
36550632|distant|DDF|influence|DDF
36550632|distant|microbiome|located in|animal
36550632|distant|dietary supplement|impact|microbiome
36550632|distant|DDF|target|animal
30248988|distant|dietary supplement|influence|DDF
30248988|distant|dietary supplement|change effect|DDF
30248988|distant|chemical|influence|DDF
30248988|distant|human|used by|statistical technique
30248988|distant|chemical|change effect|DDF
36624505|distant|DDF|target|human
37630649|distant|microbiome|is linked to|DDF
37630649|distant|DDF|strike|anatomical location
37630649|distant|dietary supplement|influence|DDF
37630649|distant|microbiome|located in|human
37630649|distant|DDF|change abundance|microbiome
37630649|distant|DDF|target|human
37630649|distant|DDF|affect|DDF
37294054|distant|gene|affect|DDF
37294054|distant|gene|located in|animal
37294054|distant|anatomical location|located in|animal
37294054|distant|microbiome|located in|animal
36945049|distant|human|target|human
36945049|distant|human|used by|biomedical technique
36945049|distant|microbiome|used by|biomedical technique
36945049|distant|DDF|target|human
33920695|distant|chemical|located in|anatomical location
36400152|distant|human|used by|biomedical technique
36400152|distant|microbiome|used by|statistical technique
36400152|distant|microbiome|is linked to|DDF
36400152|distant|DDF|target|human
38273106|distant|anatomical location|used by|biomedical technique
38273106|distant|microbiome|is linked to|DDF
38273106|distant|microbiome|located in|human
38273106|distant|chemical|influence|DDF
38273106|distant|DDF|target|human
38273106|distant|chemical|located in|animal
38273106|distant|microbiome|located in|animal
38273106|distant|human|used by|biomedical technique
38273106|distant|microbiome|used by|biomedical technique
38273106|distant|DDF|target|animal
38273106|distant|anatomical location|located in|animal
38606523|distant|microbiome|is linked to|DDF
38606523|distant|dietary supplement|influence|DDF
38606523|distant|chemical|influence|DDF
38606523|distant|DDF|affect|DDF
38606523|distant|human|target|human
38606523|distant|chemical|impact|microbiome
37062706|distant|dietary supplement|influence|DDF
29147024|distant|drug|administered|animal
29147024|distant|drug|change effect|DDF
29147024|distant|drug|impact|bacteria
29147024|distant|drug|change effect|drug
29147024|distant|drug|influence|DDF
29147024|distant|bacteria|located in|animal
29147024|distant|drug|located in|animal
29147024|distant|microbiome|located in|animal
29147024|distant|drug|administered|human
29147024|distant|drug|impact|microbiome
35723531|distant|anatomical location|used by|biomedical technique
35723531|distant|microbiome|is linked to|DDF
35723531|distant|microbiome|located in|human
35723531|distant|chemical|influence|DDF
35723531|distant|DDF|affect|DDF
35723531|distant|DDF|target|human
35723531|distant|chemical|is linked to|DDF
35723531|distant|human|used by|biomedical technique
37298527|distant|microbiome|is linked to|DDF
37298527|distant|DDF|is a|DDF
37298527|distant|bacteria|part of|microbiome
37298527|distant|DDF|affect|DDF
38024855|distant|microbiome|is linked to|DDF
38024855|distant|bacteria|influence|chemical
38024855|distant|dietary supplement|influence|DDF
38024855|distant|chemical|influence|DDF
38024855|distant|DDF|target|animal
38024855|distant|chemical|change effect|DDF
36093695|distant|microbiome|is linked to|DDF
36093695|distant|microbiome|located in|human
36093695|distant|chemical|influence|DDF
36093695|distant|DDF|target|human
36093695|distant|dietary supplement|impact|bacteria
36093695|distant|dietary supplement|impact|microbiome
36093695|distant|human|used by|biomedical technique
36093695|distant|microbiome|used by|biomedical technique
33955443|distant|dietary supplement|influence|DDF
33955443|distant|microbiome|is linked to|DDF
33955443|distant|drug|influence|DDF
33955443|distant|DDF|affect|DDF
36910501|distant|microbiome|used by|biomedical technique
36910501|distant|microbiome|is linked to|DDF
36910501|distant|DDF|target|human
31214110|distant|microbiome|located in|human
31214110|distant|microbiome|is linked to|DDF
31214110|distant|chemical|influence|anatomical location
31214110|distant|DDF|affect|DDF
26438800|distant|microbiome|is linked to|DDF
26438800|distant|DDF|is a|DDF
34895297|distant|chemical|influence|DDF
34895297|distant|food|influence|DDF
34895297|distant|DDF|target|human
34895297|distant|food|administered|human
37174495|distant|microbiome|is linked to|DDF
37174495|distant|DDF|change abundance|bacteria
37174495|distant|DDF|target|human
37174495|distant|microbiome|located in|animal
37174495|distant|DDF|target|animal
37354486|distant|microbiome|is linked to|DDF
37354486|distant|microbiome|located in|human
37354486|distant|DDF|change abundance|microbiome
37354486|distant|DDF|target|human
37354486|distant|chemical|located in|anatomical location
35583791|distant|microbiome|affect|DDF
35583791|distant|microbiome|is linked to|DDF
35583791|distant|dietary supplement|influence|DDF
35583791|distant|chemical|influence|DDF
35024387|distant|human|used by|biomedical technique
35024387|distant|DDF|target|human
37804926|distant|dietary supplement|influence|DDF
37804926|distant|DDF|change abundance|microbiome
37804926|distant|chemical|influence|DDF
37804926|distant|DDF|target|human
