pmid|annotator|subject_label|object_label
38068763|expert_3|DDF|human
35965349|expert_7|drug|DDF
35965349|expert_7|drug|animal
35965349|expert_7|anatomical location|animal
35965349|expert_7|drug|microbiome
34870091|expert_4|microbiome|human
34870091|expert_4|DDF|human
34870091|expert_4|microbiome|DDF
28158162|expert_2|DDF|human
28158162|expert_2|dietary supplement|DDF
28158162|expert_2|DDF|microbiome
28158162|expert_2|DDF|DDF
28158162|expert_2|microbiome|DDF
28158162|expert_2|dietary supplement|human
34172092|expert_6|microbiome|animal
34172092|expert_6|microbiome|DDF
34172092|expert_6|bacteria|DDF
34172092|expert_6|DDF|animal
34172092|expert_6|chemical|DDF
34172092|expert_6|drug|microbiome
37845499|expert_3|DDF|human
37845499|expert_3|microbiome|anatomical location
37845499|expert_3|DDF|DDF
37845499|expert_3|microbiome|DDF
37845499|expert_3|bacteria|microbiome
37371676|expert_1|DDF|DDF
37371676|expert_1|chemical|DDF
37371676|expert_1|microbiome|DDF
37574818|expert_2|microbiome|animal
37574818|expert_2|anatomical location|human
37574818|expert_2|DDF|human
37574818|expert_2|chemical|animal
37574818|expert_2|bacteria|animal
37574818|expert_2|DDF|DDF
37574818|expert_2|bacteria|bacteria
37574818|expert_2|microbiome|DDF
37574818|expert_2|bacteria|DDF
37574818|expert_2|DDF|animal
37574818|expert_2|bacteria|gene
37574818|expert_2|bacteria|chemical
37574818|expert_2|bacteria|microbiome
37571393|expert_2|dietary supplement|DDF
37571393|expert_2|DDF|human
37571393|expert_2|dietary supplement|gene
37571393|expert_2|DDF|DDF
37841274|expert_4|chemical|anatomical location
37841274|expert_4|chemical|DDF
37841274|expert_4|DDF|chemical
37485660|expert_4|dietary supplement|microbiome
37485660|expert_4|microbiome|animal
37485660|expert_4|dietary supplement|DDF
34098340|expert_1|microbiome|animal
34098340|expert_1|microbiome|biomedical technique
38350463|expert_4|chemical|anatomical location
29352709|expert_7|microbiome|human
29352709|expert_7|human|biomedical technique
29352709|expert_7|DDF|human
29352709|expert_7|microbiome|DDF
33511258|expert_1|DDF|human
33511258|expert_1|microbiome|human
33511258|expert_1|dietary supplement|DDF
33511258|expert_1|dietary supplement|bacteria
33511258|expert_1|microbiome|DDF
33511258|expert_1|bacteria|DDF
33511258|expert_1|bacteria|microbiome
33422110|expert_7|dietary supplement|DDF
33422110|expert_7|chemical|bacteria
33422110|expert_7|DDF|human
33422110|expert_7|chemical|DDF
34985325|expert_2|dietary supplement|DDF
34985325|expert_2|microbiome|anatomical location
34985325|expert_2|DDF|DDF
34985325|expert_2|microbiome|DDF
34985325|expert_2|bacteria|microbiome
36550591|expert_3|microbiome|animal
36550591|expert_3|microbiome|human
36550591|expert_3|DDF|human
36550591|expert_3|microbiome|DDF
30459574|expert_6|dietary supplement|bacteria
30459574|expert_6|dietary supplement|DDF
30459574|expert_6|DDF|DDF
30459574|expert_6|microbiome|DDF
30459574|expert_6|DDF|animal
38026003|expert_5|microbiome|animal
38026003|expert_5|microbiome|human
38026003|expert_5|DDF|DDF
38026003|expert_5|microbiome|DDF
33194817|expert_4|DDF|human
33194817|expert_4|DDF|microbiome
33194817|expert_4|DDF|DDF
33194817|expert_4|DDF|bacteria
33194817|expert_4|human|biomedical technique
29022384|expert_2|microbiome|biomedical technique
29022384|expert_2|bacteria|human
29022384|expert_2|human|biomedical technique
29022384|expert_2|microbiome|microbiome
29022384|expert_2|bacteria|microbiome
29857583|expert_1|DDF|bacteria
29857583|expert_1|microbiome|DDF
34758889|expert_4|microbiome|animal
34758889|expert_4|animal|biomedical technique
34758889|expert_4|chemical|animal
34758889|expert_4|DDF|bacteria
34758889|expert_4|DDF|DDF
34758889|expert_4|DDF|microbiome
34758889|expert_4|microbiome|DDF
34758889|expert_4|anatomical location|animal
34758889|expert_4|DDF|animal
34758889|expert_4|chemical|DDF
37881577|expert_6|DDF|DDF
37881577|expert_6|animal|biomedical technique
37881577|expert_6|DDF|animal
37881577|expert_6|microbiome|DDF
36984505|expert_5|DDF|human
36984505|expert_5|dietary supplement|DDF
36984505|expert_5|DDF|DDF
36984505|expert_5|microbiome|DDF
36984505|expert_5|bacteria|DDF
36984505|expert_5|chemical|DDF
36984505|expert_5|bacteria|microbiome
32979562|expert_3|DDF|bacteria
32979562|expert_3|DDF|human
32979562|expert_3|microbiome|biomedical technique
34961418|expert_2|DDF|human
34961418|expert_2|microbiome|human
34961418|expert_2|drug|human
34961418|expert_2|dietary supplement|bacteria
34961418|expert_2|dietary supplement|microbiome
34961418|expert_2|drug|bacteria
34961418|expert_2|DDF|DDF
34961418|expert_2|bacteria|human
34961418|expert_2|human|biomedical technique
34961418|expert_2|microbiome|DDF
34961418|expert_2|drug|DDF
34961418|expert_2|dietary supplement|human
34961418|expert_2|drug|microbiome
25034760|expert_1|DDF|human
25034760|expert_1|DDF|bacteria
25034760|expert_1|DDF|DDF
25034760|expert_1|microbiome|DDF
25034760|expert_1|chemical|DDF
33067915|expert_4|DDF|DDF
33067915|expert_4|DDF|human
33271210|expert_2|DDF|human
33271210|expert_2|microbiome|human
33271210|expert_2|dietary supplement|DDF
33271210|expert_2|dietary supplement|bacteria
33271210|expert_2|dietary supplement|microbiome
33271210|expert_2|bacteria|human
33271210|expert_2|DDF|DDF
33271210|expert_2|microbiome|DDF
33271210|expert_2|dietary supplement|human
36794003|expert_1|DDF|human
36794003|expert_1|food|bacteria
36794003|expert_1|food|DDF
36794003|expert_1|microbiome|human
36794003|expert_1|food|microbiome
38132705|expert_6|microbiome|human
36900437|expert_1|microbiome|animal
36900437|expert_1|animal|biomedical technique
36900437|expert_1|dietary supplement|DDF
36900437|expert_1|dietary supplement|microbiome
36900437|expert_1|anatomical location|animal
36900437|expert_1|bacteria|DDF
36900437|expert_1|DDF|animal
34603341|expert_3|dietary supplement|microbiome
34603341|expert_3|dietary supplement|DDF
34603341|expert_3|DDF|animal
34422393|expert_4|DDF|DDF
35914559|expert_2|microbiome|animal
35914559|expert_2|animal|biomedical technique
35914559|expert_2|DDF|human
35914559|expert_2|chemical|bacteria
35914559|expert_2|microbiome|human
35914559|expert_2|DDF|animal
35914559|expert_2|microbiome|biomedical technique
35914559|expert_2|DDF|microbiome
35914559|expert_2|microbiome|DDF
35914559|expert_2|chemical|microbiome
35914559|expert_2|chemical|DDF
35914559|expert_2|bacteria|microbiome
38422755|expert_1|DDF|human
38422755|expert_1|microbiome|human
38422755|expert_1|human|biomedical technique
38422755|expert_1|microbiome|DDF
38422755|expert_1|bacteria|DDF
37228957|expert_6|DDF|DDF
37228957|expert_6|microbiome|anatomical location
30717162|expert_3|microbiome|human
30717162|expert_3|DDF|human
