pmid|title|authors|journal|year|abstract
38068763|Analysis of the Efficacy of Diet and Short-Term Probiotic Intervention on Depressive Symptoms in Patients after Bariatric Surgery: A Randomized Double-Blind Placebo Controlled Pilot Study.|Natalia Komorniak; Mariusz Kaczmarczyk; Igor Łoniewski; Alexandra Martynova-Van Kley; Armen Nalian; Michał Wroński; Krzysztof Kaseja; Bartosz Kowalewski; Marcin Folwarski; Ewa Stachowska|Nutrients|2023|(1) Background: studies have shown that some patients experience mental deterioration after bariatric surgery. (2) Methods: We examined whether the use of probiotics and improved eating habits can improve the mental health of people who suffered from mood disorders after bariatric surgery. We also analyzed patients' mental states, eating habits and microbiota. (3) Results: Depressive symptoms were observed in 45% of 200 bariatric patients. After 5 weeks, we noted an improvement in patients' mental functioning (reduction in BDI and HRSD), but it was not related to the probiotic used. The consumption of vegetables and whole grain cereals increased (DQI-I adequacy), the consumption of simple sugars and SFA decreased (moderation DQI-I), and the consumption of monounsaturated fatty acids increased it. In the feces of patients after RYGB, there was a significantly higher abundance of two members of the Muribaculaceae family, namely Veillonella and Roseburia, while those after SG had more Christensenellaceae R-7 group, Subdoligranulum, Oscillibacter, and UCG-005. (4) Conclusions: the noted differences in the composition of the gut microbiota (RYGB vs. SG) may be one of the determinants of the proper functioning of the gut-brain microbiota axis, although there is currently a need for further research into this topic using a larger group of patients and different probiotic doses.
35965349|Systematic profiling of the chicken gut microbiome reveals dietary supplementation with antibiotics alters expression of multiple microbial pathways with minimal impact on community structure.|Angela Zou; Kerry Nadeau; Xuejian Xiong; Pauline W Wang; Julia K Copeland; Jee Yeon Lee; James St Pierre; Maxine Ty; Billy Taj; John H Brumell; David S Guttman; Shayan Sharif; Doug Korver; John Parkinson|Microbiome|2022|The emergence of antimicrobial resistance is a major threat to global health and has placed pressure on the livestock industry to eliminate the use of antibiotic growth promotants (AGPs) as feed additives. To mitigate their removal, efficacious alternatives are required. AGPs are thought to operate through modulating the gut microbiome to limit opportunities for colonization by pathogens, increase nutrient utilization, and reduce inflammation. However, little is known concerning the underlying mechanisms. Previous studies investigating the effects of AGPs on the poultry gut microbiome have largely focused on 16S rDNA surveys based on a single gastrointestinal (GI) site, diet, and/or timepoint, resulting in an inconsistent view of their impact on community composition. In this study, we perform a systematic investigation of both the composition and function of the chicken gut microbiome, in response to AGPs. Birds were raised under two different diets and AGP treatments, and 16S rDNA surveys applied to six GI sites sampled at three key timepoints of the poultry life cycle. Functional investigations were performed through metatranscriptomics analyses and metabolomics. Our study reveals a more nuanced view of the impact of AGPs, dependent on age of bird, diet, and intestinal site sampled. Although AGPs have a limited impact on taxonomic abundances, they do appear to redefine influential taxa that may promote the exclusion of other taxa. Microbiome expression profiles further reveal a complex landscape in both the expression and taxonomic representation of multiple pathways including cell wall biogenesis, antimicrobial resistance, and several involved in energy, amino acid, and nucleotide metabolism. Many AGP-induced changes in metabolic enzyme expression likely serve to redirect metabolic flux with the potential to regulate bacterial growth or produce metabolites that impact the host. As alternative feed additives are developed to mimic the action of AGPs, our study highlights the need to ensure such alternatives result in functional changes that are consistent with site-, age-, and diet-associated taxa. The genes and pathways identified in this study are therefore expected to drive future studies, applying tools such as community-based metabolic modeling, focusing on the mechanistic impact of different dietary regimes on the microbiome. Consequently, the data generated in this study will be crucial for the development of next-generation feed additives targeting gut health and poultry production. Video Abstract.
34870091|Compositional and functional alterations in the oral and gut microbiota in patients with psychosis or schizophrenia: A systematic review.|Nuala Murray; Sukainah Al Khalaf; David Kaulmann; Edgar Lonergan; John F Cryan; Gerard Clarke; Ali Khashan; Karen O'Connor|HRB open research|2021|<b>Background:</b> Gut and oral microbiota are intrinsically linked to human health. Recent studies suggest a direct link with mental health through bidirectional gut-brain pathways. Emerging evidence suggests that the composition and/or function of intestinal microbiome differs in those with psychosis and schizophrenia as compared with controls. There is relatively little research on the predicted or actual functional alterations associated with the composition of oral and gut microbiota in patients with psychosis. We will perform a systematic review and meta-analysis to identify, evaluate and if possible, combine the published literature on compositional alterations in the oral and gut microbiota in patients with psychosis or schizophrenia compared with healthy controls. We also aim to explore the potential functional impact of any compositional changes. <b>Methods:</b> Original studies involving humans and animals using a case-control, cohort or cross-sectional design will be included. The electronic databases PsycINFO, EMBASE, Web of Science, PubMed/MEDLINE and Cochrane will be systematically searched. Quantitative analyses will be performed using random-effects meta-analyses to calculate mean difference with 95% confidence intervals. <b>Discussion:</b> Changes in microbiota composition in psychosis and schizophrenia have been correlated with alternations in brain structure and function, altered immunity, altered metabolic pathways and symptom severity. Changes have also been identified as potential biomarkers for psychosis that might aid in diagnosis. Understanding how predicted or actual functional alterations in microbial genes or metabolic pathways influence symptomatic expression and downstream clinical outcomes may contribute to the development of microbiome targeted interventions for psychosis. <b>Registration:</b> The study is prospectively registered in PROSPERO, the International Prospective Register of Systematic Reviews (CRD42021260208).
28158162|Potential Beneficial Effects of Probiotics on Human Migraine Headache: A Literature Review.|Yu-Jie Dai; Hai-Yan Wang; Xi-Jian Wang; Alan D Kaye; Yong-Hai Sun|Pain physician|2017|Recent studies have shown that migraine headache is often associated with concomitant gastrointestinal diseases. There is a higher prevalence of headaches in patients with gastrointestinal disorders. These associations between migraine and gastrointestinal disorders suggest a potential link to a bidirectional modulation of gut microbiota and brain function. The underlying working mechanistic links between migraine and gastrointestinal diseases may include increased intestinal epithelial permeability and inflammation. This review presents an overview of the relationship between gut microbiota and brain function, especially with regard to migraine headache. Literature review. Anesthesia and Operation Center, Department of Anesthesiology, Chinese PLA General Hospital. The present investigation included a PubMed search using the following terms: migraine headache, gut microbiota, brain function, and probiotics. In this literature review, we mainly discussed the relationship between gut microbiota and brain function, especially with regard to migraine headache. The potential effects of probiotics supplement on migraine headache were also included. There is limited evidence from clinical studies of the positive effects of probiotics in patients with migraine headache. Large-scale randomized, placebo-controlled clinical trials are warranted to evaluate the clinical efficacy and safety of probiotics in patients with migraine headache. Similar to migraine headache, disorders of the brain involving depression and anxiety have been demonstrated to be associated with increased gut permeability. An improvement in gut microbiota and reduction of inflammation can have positive effects on strengthening gut and brain function. Moreover, it can be inferred that probiotics may have a beneficial effect on the frequency and severity of migraine headache attacks. Large-scale randomized, placebo-controlled studies are warranted in the future to evaluate the clinical efficacy and safety of probiotics in patients with migraine headache.Key words: Migraine headache, gut microbiota, brain function, probiotics.
34172092|Depletion of acetate-producing bacteria from the gut microbiota facilitates cognitive impairment through the gut-brain neural mechanism in diabetic mice.|Hong Zheng; Pengtao Xu; Qiaoying Jiang; Qingqing Xu; Yafei Zheng; Junjie Yan; Hui Ji; Jie Ning; Xi Zhang; Chen Li; Limin Zhang; Yuping Li; Xiaokun Li; Weihong Song; Hongchang Gao|Microbiome|2021|Modification of the gut microbiota has been reported to reduce the incidence of type 1 diabetes mellitus (T1D). We hypothesized that the gut microbiota shifts might also have an effect on cognitive functions in T1D. Herein we used a non-absorbable antibiotic vancomycin to modify the gut microbiota in streptozotocin (STZ)-induced T1D mice and studied the impact of microbial changes on cognitive performances in T1D mice and its potential gut-brain neural mechanism. We found that vancomycin exposure disrupted the gut microbiome, altered host metabolic phenotypes, and facilitated cognitive impairment in T1D mice. Long-term acetate deficiency due to depletion of acetate-producing bacteria resulted in the reduction of synaptophysin (SYP) in the hippocampus as well as learning and memory impairments. Exogenous acetate supplement or fecal microbiota transplant recovered hippocampal SYP level in vancomycin-treated T1D mice, and this effect was attenuated by vagal inhibition or vagotomy. Our results demonstrate the protective role of microbiota metabolite acetate in cognitive functions and suggest long-term acetate deficiency as a risk factor of cognitive decline. Video Abstract.
37845499|Emerging role of the host microbiome in neuropsychiatric disorders: overview and future directions.|Kenji Hashimoto|Molecular psychiatry|2023|The human body harbors a diverse ecosystem of microorganisms, including bacteria, viruses, and fungi, collectively known as the microbiota. Current research is increasingly focusing on the potential association between the microbiota and various neuropsychiatric disorders. The microbiota resides in various parts of the body, such as the oral cavity, nasal passages, lungs, gut, skin, bladder, and vagina. The gut microbiota in the gastrointestinal tract has received particular attention due to its high abundance and its potential role in psychiatric and neurodegenerative disorders. However, the microbiota presents in other body tissues, though less abundant, also plays crucial role in immune system and human homeostasis, thus influencing the development and progression of neuropsychiatric disorders. For example, oral microbiota imbalance and associated periodontitis might increase the risk for neuropsychiatric disorders. Additionally, studies using the postmortem brain samples have detected the widespread presence of oral bacteria in the brains of patients with Alzheimer's disease. This article provides an overview of the emerging role of the host microbiota in neuropsychiatric disorders and discusses future directions, such as underlying biological mechanisms, reliable biomarkers associated with the host microbiota, and microbiota-targeted interventions, for research in this field.
37371676|Using the Microbiome as a Regenerative Medicine Strategy for Autoimmune Diseases.|Kaitlin L Williams; Ryan Enslow; Shreyas Suresh; Camille Beaton; Mitchell Hodge; Amanda E Brooks|Biomedicines|2023|Autoimmune (AI) diseases, which present in a multitude of systemic manifestations, have been connected to many underlying factors. These factors include the environment, genetics, individual microbiomes, and diet. An individual's gut microbiota is an integral aspect of human functioning, as it is intimately integrated into the metabolic, mechanical, immunological, and neurologic pathways of the body. The microbiota dynamically changes throughout our lifetimes and is individually unique. While the gut microbiome is ever-adaptive, gut dysbiosis can exert a significant influence on physical and mental health. Gut dysbiosis is a common factor in various AI, and diets with elevated fat and sugar content have been linked to gut microbiome alterations, contributing to increased systemic inflammation. Additionally, multiple AI's have increased levels of certain inflammatory markers such as TNF-a, IL-6, and IL-17 that have been shown to contribute to arthropathy and are also linked to increased levels of gut dysbiosis. While chronic inflammation has been shown to affect many physiologic systems, this review explores the connection between gut microbiota, bone metabolism, and the skeletal and joint destruction associated with various AI, including psoriatic arthritis, systemic lupus erythematosus, irritable bowel disease, and rheumatoid arthritis. This review aims to define the mechanisms of microbiome crosstalk between the cells of bone and cartilage, as well as to investigate the potential bidirectional connections between AI, bony and cartilaginous tissue, and the gut microbiome. By doing this, the review also introduces the concept of altering an individual's specific gut microbiota as a form of regenerative medicine and potential tailored therapy for joint destruction seen in AI. We hope to show multiple, specific ways to target the microbiome through diet changes, rebalancing microbial diversity, or decreasing specific microbes associated with increased gut permeability, leading to reduced systemic inflammation contributing to joint pathology. Additionally, we plan to show that diet alterations can promote beneficial changes in the gut microbiota, supporting the body's own endogenous processes to decrease inflammation and increase healing. This concept of microbial alteration falls under the definition of regenerative medicine and should be included accordingly. By implementing microbial alterations in regenerative medicine, this current study could lend increasing support to the current research on the associations of the gut microbiota, bone metabolism, and AI-related musculoskeletal pathology.
37574818|Ameliorative effect of Lactobacillus plantarum CCFM8661 on oleic acid-induced acne: integrated gut microbiota link to acne pathogenesis.|Jian Ai; Weiwei Ma; Zhenghao Pan; Bingyong Mao; Xin Tang; Qiuxiang Zhang; Jianxin Zhao; Wei Chen; Shumao Cui|Journal of the science of food and agriculture|2024|Acne vulgaris is an inflammatory disease of the pilosebaceous unit of the skin that has serious adverse effects on the physical and mental health of patients. Probiotics are extensively employed in dermatology and could be an alternative option for acne therapy. Here, we evaluated the effect of oral ingestion of live and inactivated Lactobacillus plantarum CCFM8661 on oleic acid-induced acne using a mouse model. Results indicated that live L. plantarum CCFM8661 suppressed skin inflammation and serum hormone (insulin and testosterone) production in acne mice. Parallelly, live L. plantarum CCFM8661 effectively reduced the formation of skin lipids (triglycerides and non-esterified free fatty acids), and normalized the expression of skin lipid metabolism-related genes (PPAR-γ, SREBP-1c, ACCα, FASN, PPAR-α, ACOX1, HSL and ATGL). In comparison, inactivated L. plantarum CCFM8661 had no effect on skin inflammation or serum hormone secretion, but decreased skin triglycerides and normalized the expression of skin lipid metabolism-related genes (PPAR-γ, SREBP-1c, FASN and ATGL) in acne mice. Both live and inactivated L. plantarum CCFM8661 raised the richness of gut microbiota, reduced the ratio of Bacteroidetes to Firmicutes and decreased the relative abundance of Staphylococcus in the feces of acne mice. Oral ingestion of L. plantarum CCFM8661, particularly live cells, could alleviate acne by suppressing skin inflammation, normalizing the metabolism of hormones and skin lipids, which may be achieved by improving the gut microbial ecosystem. © 2023 Society of Chemical Industry.
37571393|Underlying Mechanisms of Brain Aging and Neurodegenerative Diseases as Potential Targets for Preventive or Therapeutic Strategies Using Phytochemicals.|Hamid Mostafavi Abdolmaleky; Jin-Rong Zhou|Nutrients|2023|During aging, several tissues and biological systems undergo a progressive decline in function, leading to age-associated diseases such as neurodegenerative, inflammatory, metabolic, and cardiovascular diseases and cancer. In this review, we focus on the molecular underpinning of senescence and neurodegeneration related to age-associated brain diseases, in particular, Alzheimer's and Parkinson's diseases, along with introducing nutrients or phytochemicals that modulate age-associated molecular dysfunctions, potentially offering preventive or therapeutic benefits. Based on current knowledge, the dysregulation of microglia genes and neuroinflammation, telomere attrition, neuronal stem cell degradation, vascular system dysfunction, reactive oxygen species, loss of chromosome X inactivation in females, and gut microbiome dysbiosis have been seen to play pivotal roles in neurodegeneration in an interactive manner. There are several phytochemicals (e.g., curcumin, EGCG, fucoidan, galangin, astin C, apigenin, resveratrol, phytic acid, acacetin, daucosterol, silibinin, sulforaphane, withaferin A, and betulinic acid) that modulate the dysfunction of one or several key genes (e.g., TREM2, C3, C3aR1, TNFA, NF-kb, TGFB1&2, SIRT1&6, HMGB1, and STING) affected in the aged brain. Although phytochemicals have shown promise in slowing down the progression of age-related brain diseases, more studies to identify their efficacy, alone or in combinations, in preclinical systems can help to design novel nutritional strategies for the management of neurodegenerative diseases in humans.
37841274|Melanin: a unifying theory of disease as exemplified by Parkinson's, Alzheimer's, and Lewy body dementia.|Stacie Z Berg; Jonathan Berg|Frontiers in immunology|2023|Melanin, a ubiquitous dark pigment, plays important roles in the immune system, including scavenging reactive oxygen species formed in response to ultraviolet radiation absorption, absorbing metals, thermal regulation, drug uptake, innate immune system functions, redox, and energy transduction. Many tissue types, including brain, heart, arteries, ovaries, and others, contain melanin. Almost all cells contain precursors to melanin. A growing number of diseases in which there is a loss of melanin and/or neuromelanin are increasingly thought to have infectious etiologies, for example, Alzheimer's disease (AD), Parkinson's disease (PD), Lewy Body Dementia (LBD), and vitiligo. AD, PD, LBD, and vitiligo have been linked with herpesvirus, which enters melanosomes and causes apoptosis, and with gut dysbiosis and inflammation. Herpesvirus is also linked with gut dysbiosis and inflammation. We theorize that under normal healthy states, melanin retains some of the energy it absorbs from electromagnetic radiation, which is then used to fuel cells, and energy from ATP is used to compliment that energy supply. We further theorize that loss of melanin reduces the energy supply of cells, which in the case of AD, PD, and LBD results in an inability to sustain immune system defenses and remove the plaques associated with the disease, which appear to be part of the immune system's attempt to eradicate the pathogens seen in these neurodegenerative diseases. In addition, in an attempt to explain why removing these plaques does not result in improvements in cognition and mood and why cognitions and moods in these individuals have ebbs and flows, we postulate that it is not the plaques that cause the cognitive symptoms but, rather, inflammation in the brain resulting from the immune system's response to pathogens. Our theory that energy retained in melanin fuels cells in an inverse relationship with ATP is supported by studies showing alterations in ATP production in relationship to melanin levels in melanomas, vitiligo, and healthy cells. Therefore, alteration of melanin levels may be at the core of many diseases. We propose regulating melanin levels may offer new avenues for treatment development.
