pmid|annotator|start_idx|end_idx|location|text_span|label
36479494|student_A|0|18|title|Dietary supplements|dietary supplement
36479494|student_A|23|43|title|neurological diseases|DDF
36479494|student_A|49|59|title|brain aging|DDF
36479494|student_A|2|13|abstract|healthy diet|dietary supplement
36479494|student_A|81|92|abstract|brain health|DDF
36479494|student_A|95|98|abstract|Diet|dietary supplement
36479494|student_A|141|161|abstract|neurological diseases|DDF
36479494|student_A|198|210|abstract|mental health|DDF
36479494|student_A|265|278|abstract|unhealthy diet|dietary supplement
36479494|student_A|313|338|abstract|neurodegenerative diseases|DDF
36479494|student_A|366|377|abstract|healthy diet|dietary supplement
36479494|student_A|432|452|abstract|neurological diseases|DDF
36479494|student_A|458|468|abstract|brain aging|DDF
36479494|student_A|471|496|abstract|Neurodegenerative diseases|DDF
36479494|student_A|586|590|abstract|brain|anatomical location
36479494|student_A|604|623|abstract|cognitive impairment|DDF
36479494|student_A|629|648|abstract|motoneuron disorders|DDF
36479494|student_A|665|682|abstract|Mediterranean diet|dietary supplement
36479494|student_A|685|691|abstract|MedDiet|dietary supplement
36479494|student_A|898|918|abstract|neurological diseases|DDF
36479494|student_A|933|949|abstract|cognitive decline|DDF
36479494|student_A|954|979|abstract|neurodegenerative diseases|DDF
36479494|student_A|989|999|abstract|Alzheimer's|DDF
36479494|student_A|1002|1012|abstract|Parkinson's|DDF
36479494|student_A|1018|1038|abstract|Huntington's diseases|DDF
36479494|student_A|1045|1051|abstract|MedDiet|dietary supplement
36479494|student_A|1115|1128|abstract|gut microbiota|microbiome
36479494|student_A|1160|1163|abstract|diet|dietary supplement
36479494|student_A|1319|1339|abstract|neurological diseases|DDF
36479494|student_A|1349|1360|abstract|brain health|DDF
36479494|student_A|1375|1385|abstract|polyphenols|dietary supplement
36479494|student_A|1388|1406|abstract|omega-3 fatty acids|dietary supplement
36479494|student_A|1409|1418|abstract|B vitamins|dietary supplement
36479494|student_A|1432|1446|abstract|ayurvedic herbs|dietary supplement
38891970|student_A|0|19|title|Human Gut Microbiota|microbiome
38891970|student_A|52|61|title|Depression|DDF
38891970|student_A|10|28|abstract|depressive disorder|DDF
38891970|student_A|446|449|abstract|host|human
38891970|student_A|538|551|abstract|gut microbiota|microbiome
38891970|student_A|579|588|abstract|depression|DDF
38891970|student_A|687|696|abstract|microbiota|microbiome
38891970|student_A|701|708|abstract|patients|human
38891970|student_A|715|724|abstract|depression|DDF
38891970|student_A|895|904|abstract|depression|DDF
38891970|student_A|937|950|abstract|gut microbiota|microbiome
38891970|student_A|1005|1014|abstract|depression|DDF
38891970|student_A|1121|1129|abstract|additives|dietary supplement
38891970|student_A|1139|1148|abstract|probiotics|dietary supplement
38891970|student_A|1151|1161|abstract|postbiotics|dietary supplement
38891970|student_A|1188|1197|abstract|prebiotics|dietary supplement
38891970|student_A|1202|1214|abstract|psychobiotics|drug
38891970|student_A|1248|1289|abstract|bacterium <i>Faecalibacterium prausnitzii<|bacteria
38891970|student_A|1332|1355|abstract|new-generation probiotic|dietary supplement
38891970|student_A|1395|1404|abstract|depression|DDF
33381005|student_A|0|6|title|Fisetin|drug
33381005|student_A|18|31|title|Gut Microbiota|microbiome
33381005|student_A|85|103|title|Parkinson's Disease|DDF
33381005|student_A|95|101|abstract|fisetin|drug
33381005|student_A|141|147|abstract|fisetin|drug
33381005|student_A|152|170|abstract|Parkinson's disease|DDF
33381005|student_A|173|174|abstract|PD|DDF
33381005|student_A|225|231|abstract|fisetin|drug
33381005|student_A|258|347|abstract|1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP)-induced dopaminergic neurodegeneration|DDF
33381005|student_A|352|355|abstract|mice|animal
33381005|student_A|402|415|abstract|gut microbiota|microbiome
33381005|student_A|421|422|abstract|PD|DDF
33381005|student_A|465|468|abstract|mice|animal
33381005|student_A|480|484|abstract|group|animal
33381005|student_A|503|541|abstract|16S rRNA (V3 and V4 regions) sequencing|biomedical technique
33381005|student_A|570|576|abstract|fisetin|drug
33381005|student_A|629|642|abstract|gut microbiota|microbiome
33381005|student_A|674|675|abstract|PD|DDF
33381005|student_A|682|714|abstract|alpha and beta diversity analyses|statistical technique
33381005|student_A|732|776|abstract|fisetin intervented MPTP group gut microbiota|microbiome
33381005|student_A|824|838|abstract|Lachnospiraceae|bacteria
33381005|student_A|879|921|abstract|uncultured_bacterium_g_Escherichia-Shigella|bacteria
33381005|student_A|927|957|abstract|uncultured_bacterium_g_Bacillus|bacteria
33381005|student_A|968|992|abstract|MPTP group gut microbiota|microbiome
33381005|student_A|1025|1031|abstract|fisetin|drug
33381005|student_A|1068|1084|abstract|neurodegeneration|DDF
33381005|student_A|1131|1144|abstract|gut microbiota|microbiome
33381005|student_A|1153|1159|abstract|fisetin|drug
33381005|student_A|1204|1205|abstract|PD|DDF
38173790|student_A|42|55|title|gut microbiota|microbiome
38173790|student_A|61|79|title|Parkinson's disease|DDF
38173790|student_A|4|31|abstract|human gastrointestinal tract|anatomical location
38173790|student_A|110|123|abstract|gut microbiota|microbiome
38173790|student_A|313|320|abstract|patients|human
38173790|student_A|327|345|abstract|Parkinson's disease|DDF
38173790|student_A|348|349|abstract|PD|DDF
38173790|student_A|374|387|abstract|gut microbiota|microbiome
38173790|student_A|416|429|abstract|germ-free mice|animal
38173790|student_A|473|483|abstract|PD patients|human
38173790|student_A|526|539|abstract|gut microbiota|microbiome
38173790|student_A|544|545|abstract|PD|DDF
