pmid|annotator|subject_text_span|subject_label|predicate|object_text_span|object_label
35654142|expert_3|PD symptoms|DDF|target|mice|animal
32816830|expert_3|IBS|DDF|target|patients|human
32816830|expert_3|IBS|DDF|target|people|human
32816830|expert_3|irritable bowel syndrome|DDF|target|people|human
30659564|expert_7|gut microbiome|microbiome|is linked to|inflammatory gastrointestinal disorders|DDF
30659564|expert_7|gut microbiota|microbiome|is linked to|chronic stress|DDF
30659564|expert_7|gut microbiome|microbiome|is linked to|obesity|DDF
30659564|expert_7|gut microbiota|microbiome|is linked to|mental disorders|DDF
30659564|expert_7|gut microbiota|microbiome|is linked to|depression|DDF
30659564|expert_7|gut microbiota|microbiome|is linked to|psychiatric disorders|DDF
38283894|expert_5|autism spectrum disorders|DDF|target|adolescents|human
38283894|expert_5|Parabacteroides|bacteria|located in|controls|human
38283894|expert_5|oxytocin|chemical|located in|controls|human
38283894|expert_5|CRP|chemical|located in|Children|human
38283894|expert_5|Faecalibacterium|bacteria|located in|Children|human
38283894|expert_5|Parabacteroides|bacteria|located in|children|human
38283894|expert_5|Bifidobacterium|bacteria|located in|Children|human
38283894|expert_5|ASD|DDF|target|Children|human
38283894|expert_5|Autism spectrum disorder|DDF|target|children|human
38283894|expert_5|oxytocin|chemical|located in|children|human
38283894|expert_5|Bacteroides|bacteria|located in|Children|human
38283894|expert_5|iron|chemical|located in|Children|human
38283894|expert_5|Faecalibacterium|bacteria|located in|controls|human
38283894|expert_5|Bifidobacterium|bacteria|located in|controls|human
38283894|expert_5|iron|chemical|located in|children|human
38283894|expert_5|CRP|chemical|located in|controls|human
38283894|expert_5|CRP|chemical|located in|children|human
38283894|expert_5|Bacteroides|bacteria|located in|controls|human
38283894|expert_5|ASD|DDF|target|children|human
38283894|expert_5|iron|chemical|located in|controls|human
38283894|expert_5|Clostridium|bacteria|located in|Children|human
38283894|expert_5|Bifidobacterium|bacteria|located in|children|human
38283894|expert_5|trace elements|chemical|located in|children|human
38283894|expert_5|Autism spectrum disorder|DDF|target|adolescents|human
38283894|expert_5|autism spectrum disorder|DDF|target|children|human
38283894|expert_5|Bacteroides|bacteria|located in|children|human
