pmid|annotator|subject_start_idx|subject_end_idx|subject_location|subject_text_span|subject_label|predicate|object_start_idx|object_end_idx|object_location|object_text_span|object_label
35654142|expert_3|220|230|abstract|PD symptoms|DDF|target|235|238|abstract|mice|animal
32816830|expert_3|39|62|title|irritable bowel syndrome|DDF|target|27|32|title|people|human
32816830|expert_3|154|177|abstract|irritable bowel syndrome|DDF|target|142|147|abstract|people|human
32816830|expert_3|180|182|abstract|IBS|DDF|target|142|147|abstract|people|human
32816830|expert_3|716|718|abstract|IBS|DDF|target|704|709|abstract|people|human
32816830|expert_3|1002|1004|abstract|IBS|DDF|target|988|995|abstract|patients|human
30659564|expert_7|51|64|title|gut microbiota|microbiome|is linked to|70|90|title|psychiatric disorders|DDF
30659564|expert_7|336|349|abstract|gut microbiota|microbiome|is linked to|355|370|abstract|mental disorders|DDF
30659564|expert_7|336|349|abstract|gut microbiota|microbiome|is linked to|937|952|abstract|mental disorders|DDF
30659564|expert_7|751|764|abstract|gut microbiome|microbiome|is linked to|789|795|abstract|obesity|DDF
30659564|expert_7|751|764|abstract|gut microbiome|microbiome|is linked to|801|839|abstract|inflammatory gastrointestinal disorders|DDF
30659564|expert_7|918|931|abstract|gut microbiota|microbiome|is linked to|937|952|abstract|mental disorders|DDF
30659564|expert_7|918|931|abstract|gut microbiota|microbiome|is linked to|978|987|abstract|depression|DDF
30659564|expert_7|918|931|abstract|gut microbiota|microbiome|is linked to|993|1006|abstract|chronic stress|DDF
38283894|expert_5|51|75|title|autism spectrum disorders|DDF|target|21|28|title|children|human
38283894|expert_5|51|75|title|autism spectrum disorders|DDF|target|34|44|title|adolescents|human
38283894|expert_5|121|134|title|trace elements|chemical|located in|21|28|title|children|human
38283894|expert_5|121|134|title|trace elements|chemical|located in|34|44|title|adolescents|human
38283894|expert_5|121|134|title|trace elements|chemical|located in|81|96|title|healthy controls|human
38283894|expert_5|0|23|abstract|Autism spectrum disorder|DDF|target|21|28|title|children|human
38283894|expert_5|0|23|abstract|Autism spectrum disorder|DDF|target|34|44|title|adolescents|human
38283894|expert_5|26|28|abstract|ASD|DDF|target|21|28|title|children|human
38283894|expert_5|26|28|abstract|ASD|DDF|target|34|44|title|adolescents|human
38283894|expert_5|412|425|abstract|trace elements|chemical|located in|459|466|abstract|children|human
38283894|expert_5|412|425|abstract|trace elements|chemical|located in|508|523|abstract|control subjects|human
38283894|expert_5|473|496|abstract|autism spectrum disorder|DDF|target|459|466|abstract|children|human
38283894|expert_5|499|501|abstract|ASD|DDF|target|459|466|abstract|children|human
38283894|expert_5|1394|1396|abstract|ASD|DDF|target|1380|1387|abstract|children|human
38283894|expert_5|1432|1439|abstract|oxytocin|chemical|located in|1380|1387|abstract|children|human
38283894|expert_5|1522|1525|abstract|iron|chemical|located in|1380|1387|abstract|children|human
