pmid	annotator	subject_label	predicate	object_label
35654142	expert_3	DDF	target	animal


32816830	expert_3	DDF	target	human


30659564	expert_7	microbiome	is linked to	DDF


38283894	expert_5	DDF	target	human
38283894	expert_5	chemical	located in	human
38283894	expert_5	bacteria	located in	human


36072680	expert_6	DDF	target	human
36072680	expert_6	DDF	is a	DDF
36072680	expert_6	microbiome	is linked to	DDF


37127945	expert_4	DDF	change abundance	bacteria
37127945	expert_4	dietary supplement	influence	DDF
37127945	expert_4	DDF	target	human


36411639	expert_4	bacteria	influence	DDF
36411639	expert_4	chemical	influence	DDF


32545788	expert_6	chemical	influence	DDF




30072879	expert_2	DDF	affect	DDF
30072879	expert_2	microbiome	located in	animal
30072879	expert_2	chemical	impact	microbiome
30072879	expert_2	microbiome	is linked to	DDF
30072879	expert_2	chemical	influence	DDF
30072879	expert_2	DDF	target	animal
30072879	expert_2	chemical	interact	chemical


32572814	expert_4	chemical	located in	anatomical location
32572814	expert_4	drug	interact	chemical
32572814	expert_4	chemical	influence	DDF


30828318	expert_5	dietary supplement	influence	DDF
30828318	expert_5	anatomical location	located in	human
30828318	expert_5	microbiome	located in	anatomical location
30828318	expert_5	microbiome	located in	human


31148353	expert_5	DDF	affect	DDF
31148353	expert_5	drug	change effect	DDF
31148353	expert_5	chemical	located in	anatomical location
31148353	expert_5	microbiome	located in	anatomical location
31148353	expert_5	microbiome	is linked to	DDF
31148353	expert_5	chemical	influence	DDF


31821833	expert_5	microbiome	located in	anatomical location
31821833	expert_5	microbiome	is linked to	DDF


33063712	expert_4	DDF	change abundance	microbiome


36462169	expert_4	DDF	interact	chemical
36462169	expert_4	chemical	interact	chemical


27698624	expert_2	microbiome	is linked to	DDF




33938181	expert_5	DDF	change abundance	bacteria
33938181	expert_5	chemical	impact	bacteria
33938181	expert_5	chemical	impact	microbiome
33938181	expert_5	bacteria	interact	bacteria
33938181	expert_5	bacteria	interact	chemical
33938181	expert_5	chemical	part of	chemical


31917834	expert_2	dietary supplement	influence	DDF
31917834	expert_2	DDF	is a	DDF
31917834	expert_2	DDF	affect	DDF
31917834	expert_2	microbiome	is linked to	DDF


38123016	expert_2	DDF	change abundance	microbiome
38123016	expert_2	dietary supplement	influence	DDF
38123016	expert_2	DDF	is a	DDF
38123016	expert_2	microbiome	located in	human


25231862	expert_1	dietary supplement	influence	DDF
25231862	expert_1	dietary supplement	impact	microbiome
25231862	expert_1	DDF	target	human


33677218	expert_6	DDF	target	animal
33677218	expert_6	DDF	affect	DDF
33677218	expert_6	microbiome	is linked to	DDF
