pmid|annotator|start_idx|end_idx|location|text_span|label
35654142|expert_3|74|120|title|human microbiome-associated functional amyloids|chemical
35654142|expert_3|4|17|abstract|gut microbiome|microbiome
35654142|expert_3|82|100|abstract|Parkinson's disease|DDF
35654142|expert_3|103|104|abstract|PD|DDF
35654142|expert_3|112|151|abstract|Escherichia coli functional amyloid CsgA|gene
35654142|expert_3|220|230|abstract|PD symptoms|DDF
35654142|expert_3|235|238|abstract|mice|animal
35654142|expert_3|359|362|abstract|CsgA|gene
35654142|expert_3|506|518|abstract|CsgA homologs|gene
35654142|expert_3|555|570|abstract|human microbiome|microbiome
35654142|expert_3|579|591|abstract|CsgA homologs|gene
35654142|expert_3|876|902|abstract|gut bacterial CsgA homologs|gene
35654142|expert_3|1004|1007|abstract|CsgA|gene
35654142|expert_3|1228|1229|abstract|PD|DDF
32816830|expert_3|5|13|title|Fibre-fix|dietary supplement
32816830|expert_3|27|32|title|people|human
32816830|expert_3|39|62|title|irritable bowel syndrome|DDF
32816830|expert_3|126|139|title|gut microbiome|microbiome
32816830|expert_3|169|211|title|double-blinded, randomised controlled trial|statistical technique
32816830|expert_3|126|137|abstract|gut symptoms|DDF
32816830|expert_3|142|147|abstract|people|human
32816830|expert_3|154|177|abstract|irritable bowel syndrome|DDF
32816830|expert_3|180|182|abstract|IBS|DDF
32816830|expert_3|264|277|abstract|gut microbiota|microbiome
32816830|expert_3|316|326|abstract|large bowel|anatomical location
32816830|expert_3|364|386|abstract|short-chain fatty acids|chemical
32816830|expert_3|389|393|abstract|SCFAs|chemical
32816830|expert_3|405|412|abstract|butyrate|chemical
32816830|expert_3|530|538|abstract|Fibre-fix|dietary supplement
32816830|expert_3|603|616|abstract|gut microbiome|microbiome
32816830|expert_3|704|709|abstract|people|human
32816830|expert_3|716|718|abstract|IBS|DDF
32816830|expert_3|849|857|abstract|Fibre-fix|dietary supplement
32816830|expert_3|988|995|abstract|patients|human
32816830|expert_3|1002|1004|abstract|IBS|DDF
32816830|expert_3|1007|1018|abstract|Participants|human
32816830|expert_3|1297|1313|abstract|faecal microbiome|microbiome
32816830|expert_3|1342|1345|abstract|SCFA|chemical
32816830|expert_3|1431|1442|abstract|participants|human
32816830|expert_3|1466|1486|abstract|Multivariate analysis|statistical technique
32816830|expert_3|1516|1529|abstract|gut microbiome|microbiome
32816830|expert_3|1535|1580|abstract|repeated measures Analysis of variance (ANOVA)|statistical technique
32816830|expert_3|1650|1663|abstract|bowel symptoms|DDF
32816830|expert_3|2027|2038|abstract|Participants|human
32816830|expert_3|2116|2124|abstract|Fibre-fix|dietary supplement
32816830|expert_3|2170|2194|abstract|gut microbial composition|microbiome
30659564|expert_7|51|64|title|gut microbiota|microbiome
30659564|expert_7|70|90|title|psychiatric disorders|DDF
30659564|expert_7|155|168|abstract|gut microbiome|microbiome
30659564|expert_7|336|349|abstract|gut microbiota|microbiome
30659564|expert_7|355|370|abstract|mental disorders|DDF
30659564|expert_7|751|764|abstract|gut microbiome|microbiome
30659564|expert_7|789|795|abstract|obesity|DDF
30659564|expert_7|801|839|abstract|inflammatory gastrointestinal disorders|DDF
30659564|expert_7|918|931|abstract|gut microbiota|microbiome
30659564|expert_7|937|952|abstract|mental disorders|DDF
30659564|expert_7|978|987|abstract|depression|DDF
30659564|expert_7|993|1006|abstract|chronic stress|DDF
38283894|expert_5|21|28|title|children|human
38283894|expert_5|34|44|title|adolescents|human
38283894|expert_5|51|75|title|autism spectrum disorders|DDF
38283894|expert_5|81|96|title|healthy controls|human
38283894|expert_5|121|134|title|trace elements|chemical
38283894|expert_5|166|178|title|meta-analysis|statistical technique
38283894|expert_5|0|23|abstract|Autism spectrum disorder|DDF
38283894|expert_5|26|28|abstract|ASD|DDF
38283894|expert_5|135|137|abstract|ASD|DDF
38283894|expert_5|363|365|abstract|ASD|DDF
38283894|expert_5|412|425|abstract|trace elements|chemical
38283894|expert_5|459|466|abstract|children|human
38283894|expert_5|473|496|abstract|autism spectrum disorder|DDF
38283894|expert_5|499|501|abstract|ASD|DDF
38283894|expert_5|508|523|abstract|control subjects|human
38283894|expert_5|720|781|abstract|population, intervention, control, and outcome (PICO) approach|statistical technique
38283894|expert_5|804|827|abstract|autism spectrum disorder|DDF
38283894|expert_5|832|839|abstract|oxytocin|chemical
38283894|expert_5|844|847|abstract|GABA|chemical
38283894|expert_5|852|860|abstract|Serotonin|chemical
38283894|expert_5|865|867|abstract|CRP|chemical
38283894|expert_5|872|875|abstract|IL-6|chemical
38283894|expert_5|880|881|abstract|Fe|chemical
38283894|expert_5|886|887|abstract|Zn|chemical
38283894|expert_5|892|893|abstract|Cu|chemical
