pmid|annotator|subject_start_idx|subject_end_idx|subject_location|subject_text_span|subject_label|predicate|object_start_idx|object_end_idx|object_location|object_text_span|object_label
38068763|expert_3|65|84|abstract|mental deterioration|DDF|target|45|52|abstract|patients|human
38068763|expert_3|251|264|abstract|mood disorders|DDF|target|226|231|abstract|people|human
38068763|expert_3|376|394|abstract|Depressive symptoms|DDF|target|424|441|abstract|bariatric patients|human
35965349|expert_7|151|178|abstract|antibiotic growth promotants|drug|impact|323|336|abstract|gut microbiome|microbiome
35965349|expert_7|151|178|abstract|antibiotic growth promotants|drug|change effect|434|445|abstract|inflammation|DDF
35965349|expert_7|151|178|abstract|antibiotic growth promotants|drug|impact|569|590|abstract|poultry gut microbiome|microbiome
35965349|expert_7|181|184|abstract|AGPs|drug|impact|323|336|abstract|gut microbiome|microbiome
35965349|expert_7|181|184|abstract|AGPs|drug|change effect|434|445|abstract|inflammation|DDF
35965349|expert_7|272|275|abstract|AGPs|drug|impact|323|336|abstract|gut microbiome|microbiome
35965349|expert_7|272|275|abstract|AGPs|drug|change effect|434|445|abstract|inflammation|DDF
35965349|expert_7|557|560|abstract|AGPs|drug|impact|569|590|abstract|poultry gut microbiome|microbiome
35965349|expert_7|969|982|abstract|AGP treatments|drug|administered|921|925|abstract|Birds|animal
35965349|expert_7|1282|1296|abstract|intestinal site|anatomical location|located in|1266|1269|abstract|bird|animal
34870091|expert_4|48|70|title|oral and gut microbiota|microbiome|located in|75|82|title|patients|human
34870091|expert_4|89|97|title|psychosis|DDF|target|75|82|title|patients|human
34870091|expert_4|102|114|title|schizophrenia|DDF|target|75|82|title|patients|human
34870091|expert_4|250|270|abstract|intestinal microbiome|microbiome|is linked to|294|302|abstract|psychosis|DDF
34870091|expert_4|250|270|abstract|intestinal microbiome|microbiome|is linked to|308|320|abstract|schizophrenia|DDF
34870091|expert_4|470|492|abstract|oral and gut microbiota|microbiome|located in|497|504|abstract|patients|human
34870091|expert_4|511|519|abstract|psychosis|DDF|target|497|504|abstract|patients|human
34870091|expert_4|684|706|abstract|oral and gut microbiota|microbiome|located in|711|718|abstract|patients|human
34870091|expert_4|684|706|abstract|oral and gut microbiota|microbiome|located in|766|781|abstract|healthy controls|human
34870091|expert_4|725|733|abstract|psychosis|DDF|target|711|718|abstract|patients|human
34870091|expert_4|738|750|abstract|schizophrenia|DDF|target|711|718|abstract|patients|human
28158162|expert_2|32|41|title|Probiotics|dietary supplement|influence|46|68|title|Human Migraine Headache|DDF
28158162|expert_2|31|47|abstract|migraine headache|DDF|affect|86|110|abstract|gastrointestinal diseases|DDF
28158162|expert_2|145|153|abstract|headaches|DDF|target|158|165|abstract|patients|human
28158162|expert_2|172|197|abstract|gastrointestinal disorders|DDF|target|158|165|abstract|patients|human
28158162|expert_2|172|197|abstract|gastrointestinal disorders|DDF|affect|145|153|abstract|headaches|DDF
28158162|expert_2|227|234|abstract|migraine|DDF|affect|240|265|abstract|gastrointestinal disorders|DDF
28158162|expert_2|227|234|abstract|migraine|DDF|change abundance|325|338|abstract|gut microbiota|microbiome
28158162|expert_2|240|265|abstract|gastrointestinal disorders|DDF|change abundance|325|338|abstract|gut microbiota|microbiome
28158162|expert_2|409|416|abstract|migraine|DDF|affect|422|446|abstract|gastrointestinal diseases|DDF
28158162|expert_2|409|416|abstract|migraine|DDF|affect|509|520|abstract|inflammation|DDF
28158162|expert_2|422|446|abstract|gastrointestinal diseases|DDF|affect|509|520|abstract|inflammation|DDF
28158162|expert_2|645|661|abstract|migraine headache|DDF|change abundance|584|597|abstract|gut microbiota|microbiome
28158162|expert_2|993|1006|abstract|gut microbiota|microbiome|is linked to|1054|1070|abstract|migraine headache|DDF
28158162|expert_2|1098|1118|abstract|probiotics supplement|dietary supplement|influence|1123|1139|abstract|migraine headache|DDF
28158162|expert_2|1236|1245|abstract|probiotics|dietary supplement|administered|1250|1257|abstract|patients|human
28158162|expert_2|1236|1245|abstract|probiotics|dietary supplement|influence|1264|1280|abstract|migraine headache|DDF
28158162|expert_2|1264|1280|abstract|migraine headache|DDF|target|1250|1257|abstract|patients|human
28158162|expert_2|1404|1413|abstract|probiotics|dietary supplement|influence|1432|1448|abstract|migraine headache|DDF
28158162|expert_2|1432|1448|abstract|migraine headache|DDF|target|1418|1425|abstract|patients|human
28158162|expert_2|1462|1478|abstract|migraine headache|DDF|affect|1514|1523|abstract|depression|DDF
28158162|expert_2|1462|1478|abstract|migraine headache|DDF|affect|1529|1535|abstract|anxiety|DDF
28158162|expert_2|1774|1783|abstract|probiotics|dietary supplement|influence|1462|1478|abstract|migraine headache|DDF
28158162|expert_2|2001|2010|abstract|probiotics|dietary supplement|influence|2029|2045|abstract|migraine headache|DDF
28158162|expert_2|2029|2045|abstract|migraine headache|DDF|target|2015|2022|abstract|patients|human
34172092|expert_6|49|62|title|gut microbiota|microbiome|is linked to|76|95|title|cognitive impairment|DDF
34172092|expert_6|20|33|abstract|gut microbiota|microbiome|is linked to|80|103|abstract|type 1 diabetes mellitus|DDF
34172092|expert_6|20|33|abstract|gut microbiota|microbiome|is linked to|106|108|abstract|T1D|DDF
34172092|expert_6|137|150|abstract|gut microbiota|microbiome|is linked to|211|213|abstract|T1D|DDF
34172092|expert_6|233|268|abstract|non-absorbable antibiotic vancomycin|drug|impact|284|297|abstract|gut microbiota|microbiome
34172092|expert_6|284|297|abstract|gut microbiota|microbiome|located in|302|338|abstract|streptozotocin (STZ)-induced T1D mice|animal
34172092|expert_6|583|602|abstract|cognitive impairment|DDF|target|607|614|abstract|T1D mice|animal
34172092|expert_6|666|691|abstract|acetate-producing bacteria|bacteria|influence|617|644|abstract|Long-term acetate deficiency|DDF
34172092|expert_6|666|691|abstract|acetate-producing bacteria|bacteria|influence|772|802|abstract|learning and memory impairments|DDF
34172092|expert_6|1051|1068|abstract|metabolite acetate|chemical|influence|1105|1132|abstract|long-term acetate deficiency|DDF
34172092|expert_6|1051|1068|abstract|metabolite acetate|chemical|influence|1154|1170|abstract|cognitive decline|DDF
37845499|expert_3|21|35|title|host microbiome|microbiome|is linked to|40|65|title|neuropsychiatric disorders|DDF
37845499|expert_3|72|79|abstract|bacteria|bacteria|part of|128|137|abstract|microbiota|microbiome
37845499|expert_3|223|232|abstract|microbiota|microbiome|is linked to|246|271|abstract|neuropsychiatric disorders|DDF
37845499|expert_3|278|287|abstract|microbiota|microbiome|located in|339|349|abstract|oral cavity|anatomical location
37845499|expert_3|278|287|abstract|microbiota|microbiome|located in|352|365|abstract|nasal passages|anatomical location
37845499|expert_3|278|287|abstract|microbiota|microbiome|located in|368|372|abstract|lungs|anatomical location
37845499|expert_3|278|287|abstract|microbiota|microbiome|located in|375|377|abstract|gut|anatomical location
37845499|expert_3|278|287|abstract|microbiota|microbiome|located in|380|383|abstract|skin|anatomical location
37845499|expert_3|278|287|abstract|microbiota|microbiome|located in|386|392|abstract|bladder|anatomical location
37845499|expert_3|278|287|abstract|microbiota|microbiome|located in|399|404|abstract|vagina|anatomical location
37845499|expert_3|411|424|abstract|gut microbiota|microbiome|located in|433|454|abstract|gastrointestinal tract|anatomical location
37845499|expert_3|411|424|abstract|gut microbiota|microbiome|is linked to|542|584|abstract|psychiatric and neurodegenerative disorders|DDF
37845499|expert_3|600|609|abstract|microbiota|microbiome|is linked to|781|806|abstract|neuropsychiatric disorders|DDF
37845499|expert_3|863|875|abstract|periodontitis|DDF|affect|905|930|abstract|neuropsychiatric disorders|DDF
37845499|expert_3|1076|1094|abstract|Alzheimer's disease|DDF|target|1062|1069|abstract|patients|human
