pmid|annotator|start_idx|end_idx|location|text_span|label
38068763|expert_3|74|92|title|Depressive Symptoms|DDF
38068763|expert_3|97|104|title|Patients|human
38068763|expert_3|45|52|abstract|patients|human
38068763|expert_3|65|84|abstract|mental deterioration|DDF
38068763|expert_3|155|164|abstract|probiotics|dietary supplement
38068763|expert_3|226|231|abstract|people|human
38068763|expert_3|251|264|abstract|mood disorders|DDF
38068763|expert_3|376|394|abstract|Depressive symptoms|DDF
38068763|expert_3|424|441|abstract|bariatric patients|human
38068763|expert_3|574|582|abstract|probiotic|dietary supplement
38068763|expert_3|609|618|abstract|vegetables|food
38068763|expert_3|624|642|abstract|whole grain cereals|food
38068763|expert_3|691|703|abstract|simple sugars|chemical
38068763|expert_3|709|711|abstract|SFA|chemical
38068763|expert_3|735|739|abstract|DQI-I|biomedical technique
38068763|expert_3|766|792|abstract|monounsaturated fatty acids|chemical
38068763|expert_3|824|831|abstract|patients|human
38068763|expert_3|940|950|abstract|Veillonella|bacteria
38068763|expert_3|956|964|abstract|Roseburia|bacteria
38068763|expert_3|997|1025|abstract|Christensenellaceae R-7 group|bacteria
38068763|expert_3|1028|1042|abstract|Subdoligranulum|bacteria
38068763|expert_3|1045|1057|abstract|Oscillibacter|bacteria
38068763|expert_3|1064|1070|abstract|UCG-005|bacteria
38068763|expert_3|1138|1151|abstract|gut microbiota|microbiome
38068763|expert_3|1354|1361|abstract|patients|human
35965349|expert_7|28|49|title|chicken gut microbiome|microbiome
35965349|expert_7|59|81|title|dietary supplementation|dietary supplement
35965349|expert_7|88|98|title|antibiotics|drug
35965349|expert_7|17|40|abstract|antimicrobial resistance|DDF
35965349|expert_7|151|178|abstract|antibiotic growth promotants|drug
35965349|expert_7|181|184|abstract|AGPs|drug
35965349|expert_7|190|203|abstract|feed additives|dietary supplement
35965349|expert_7|272|275|abstract|AGPs|drug
35965349|expert_7|323|336|abstract|gut microbiome|microbiome
35965349|expert_7|434|445|abstract|inflammation|DDF
35965349|expert_7|557|560|abstract|AGPs|drug
35965349|expert_7|569|590|abstract|poultry gut microbiome|microbiome
35965349|expert_7|616|631|abstract|16S rDNA surveys|biomedical technique
35965349|expert_7|651|676|abstract|gastrointestinal (GI) site|anatomical location
35965349|expert_7|876|897|abstract|chicken gut microbiome|microbiome
35965349|expert_7|915|918|abstract|AGPs|drug
35965349|expert_7|921|925|abstract|Birds|animal
35965349|expert_7|969|982|abstract|AGP treatments|drug
35965349|expert_7|989|1004|abstract|16S rDNA surveys|biomedical technique
35965349|expert_7|1021|1028|abstract|GI sites|anatomical location
35965349|expert_7|1138|1165|abstract|metatranscriptomics analyses|biomedical technique
35965349|expert_7|1171|1182|abstract|metabolomics|biomedical technique
35965349|expert_7|1240|1243|abstract|AGPs|drug
35965349|expert_7|1266|1269|abstract|bird|animal
35965349|expert_7|1282|1296|abstract|intestinal site|anatomical location
35965349|expert_7|1316|1319|abstract|AGPs|drug
